MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2000033220103302111000111110001110033010223300022;b1-b2;0;0;19612;20000;388
3;2;2000033220133002111000111110001110033010223300022;g2-f2;0;0;19612;15999;4001
4;3;2000033220133000211100111110001110033010223300022;b3-c3;0;0;18467;15999;1145
5;2;2000003220133000211300111110001111033010223300022;f1-f2;0;0;18467;15339;660
6;3;2000033220133000211100111110001112033010223300002;f7-f6;0;0;18240;15339;227
7;2;2000033221330000211100111110001112033010223300002;f2-e2;0;0;18240;14602;737
8;3;2000033201330002211100111110001112033010223300002;b2-b3;0;0;14591;14602;3649
9;2;2000033213300002211100111110001112033010223300002;e2-d2;0;0;14591;13880;722
10;3;2000033021330002211100111110001112033010223300002;a2-b2;0;0;13881;13880;710
11;2;2000033021330002211100111110001112003310223300002;a6-b6;0;0;13881;13547;333
12;3;2000033001330002211100211110011112003310223300002;b2-b3;0;0;13020;13547;861
13;2;2000033001330002211100211110011112000331223300002;b6-c6;0;0;13020;13400;147
14;3;2000033001331002211100211120011112000331023300002;f6-f5;0;0;12783;13400;237
15;2;2000033001331002211100211120011112000033123300002;c6-d6;0;0;12783;13044;356
16;3;2000033001331002211100211120011112000331203300002;g6-f6;0;0;12534;13044;249
17;2;2000003001333002211100211110011112000331203300022;f1-f2;0;0;12534;12599;445
18;3;2000003001333002211100211110011112003312003300022;f6-e6;0;0;11942;12599;592
19;2;2000003021333002211100111110031112003312003000022;b7-b6;0;0;11942;12436;163
20;3;2000033021331002211100111120031110003312003000022;f5-f4;0;0;9781;12436;2161
21;2;2000033021301002213100111120031110003311003000222;e2-e3;0;0;9781;12306;130
22;2;2000013021301002213200111100031110003311003000222;f4-f3x;0;0;9749;12306;32
23;2;2000013021302002213000111100031110003311003000222;f3-f2x;1;0;9693;12306;56
24;3;2000013021332002211000111100031110003312003000022;e7-e6;1;0;9584;12306;109
25;2;2010013022332002111000111100033110003012003000022;c6-c5;1;0;9584;12151;155
26;2;2010023022330002111000111100033110003012003000022;f2-f1x;2;0;9496;12151;88
27;3;2010023022330002111000111100033110003120003000022;e6-d6;2;0;9078;12151;418
28;2;2010020022330302111000111100033110003120003000022;g1-g2;2;0;9078;12006;145
29;3;2010020022330302111000111100033110031200003000022;d6-c6;2;0;8568;12006;510
30;2;2010020022330302111000111100003311031200003000022;b5-c5;2;0;8568;11223;783
31;2;2020020021330302111000131100002311031000003000022;c6-c5x;3;0;7816;11223;752
