MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033220103300111000111110001110233010223300020;g7-g6;0;0;19690;20000;310
3;2;2200033220103300111000111110031110233010223000020;b7-b6;0;0;19690;18743;1257
4;3;2200033022103300111000111110031110233010223000020;a2-b2;0;0;17345;18743;2345
5;2;2200003022103300111300111110031110233010223000020;f1-f2;0;0;17345;15889;2854
6;3;2200003022103300111300111110031110033010223000022;g5-g6;0;0;16259;15889;1086
7;2;2200003022103301111300311110031110030010223000022;b6-b5;0;0;16259;14614;1275
8;3;2200003002213301111300311110031110030010223000022;b2-c2;0;0;14742;14614;1517
9;2;2200003022133001111300311110031110030010223000022;g2-f2;0;0;14742;13772;842
10;3;2200003020133001211300311110031110030110223000022;c2-c3;0;0;11793;13772;2949
11;2;2200003021330001211300311110031110030110223000022;f2-e2;0;0;11793;11017;2755
12;3;2200003002133001211300311110031110030110223000022;b2-c2;0;0;10910;11017;883
13;2;2200003002133012113000311110031110030110223000022;f3-e3;0;0;10910;10491;526
14;3;2200003002133010113000211110031110033110223000022;b3-b4;0;0;10451;10491;459
15;2;2200003002133011130000211110031110033110223000022;e3-d3;0;0;10451;10099;392
16;3;2200003000213311130000211110031110033110223000022;c2-d2;0;0;10031;10099;420
17;3;2200003000213311300000211110031110033110223000022;d3-c3x;0;1;10031;9966;133
18;3;2200003000213313000000211110031110033110223000022;c3-b3x;0;2;10031;9763;203
19;2;2200003000210313000300211110031110033110223000022;f2-f3;0;2;10031;9596;167
20;3;2200003000021313000300211110031110033110223000022;d2-e2;0;2;9801;9596;230
21;2;2200003000213013000300211110031110033110223000022;g2-f2;0;2;9801;9505;91
22;3;2200003000213013000300211110031110033110223000220;g7-f7;0;2;9628;9505;173
23;3;2200003000213030000300211110031110033110223000220;b3-a3x;0;3;9628;9327;178
24;2;2200003000210030000300211130031111033110223000220;f2-f3;0;3;9628;8788;539
25;3;2200003000213030000300211110031112033110223000200;f7-f6;0;3;9480;8788;148
26;2;2200003000213030000300211110003111233110223000200;b5-c5;0;3;9480;8434;354
27;3;2200003000213030000300021111003111233110223000200;b4-c4;0;3;9327;8434;153
28;3;2200003000213030000300021111000311133110223000200;c5-d5x;0;3;9327;8432;2
29;3;2200003000213030000300021111000031133110223000200;d5-e5x;0;4;9327;8428;4
30;3;2200003000213030000300021111000003133110223000200;e5-f5x;0;5;9327;8420;8
31;3;2200003000213030000300021111000000333110223000200;f5-g5x;0;6;9327;8363;57
32;2;2200003300213000000300021111000000333110223000200;a3-a2;0;6;9327;8141;222
33;3;2200003300021300000300021111000000333110223000200;d2-e2;0;6;8480;8141;847
34;3;3200003000021300000300021111000000333110223000200;a2-a1x;0;6;8480;7632;509
35;2;3200003000213000000300021111000000333110223000200;g2-f2;0;6;8480;6162;1470
36;2;2000003000213000000300021111000000333110223000200;b1-a1x;0;6;7129;6162;1351
37;3;2000003000021300000300021111000000333110223000200;d2-e2;0;6;6593;6162;536
38;2;2000000000021300000330021111000000333110223000200;g1-g2;0;6;6593;5616;546
39;2;2000000000002100000330021111000000333110223000200;e2-f2x;0;6;5452;5616;1141
40;2;2000000000000200000330021111000000333110223000200;f2-g2x;1;6;5262;5616;190
41;3;2000000000000200000330021111000000333112203000200;g6-f6;1;6;5049;5616;213
42;2;2000000000000200000330021111000000303311223000200;a6-b6;1;6;5049;5555;61
43;3;2000000000000200000330021111000002303311023000200;f6-f5;1;6;5001;5555;48
44;2;2000000000000200000330021111000023003311023000200;g5-f5;1;6;5001;5508;47
45;3;2000000000000200000330021111000023003311203000200;g6-f6;1;6;4890;5508;111
46;2;2000000000000200000330021111000023000331123000200;b6-c6;1;6;4890;5468;40
47;3;2000000000000200000330021111000023000331103000202;g6-g7;1;6;4875;5468;15
48;2;2000000000000200000330021111000023000033113000202;c6-d6;1;6;4875;5453;15
49;3;2000000000000200000330021111000023100033123000200;g7-g6;1;6;4874;5453;1
50;3;2000000000000200000330021111000023100003313000200;d6-e6x;1;6;4874;5453;0
51;3;2000000000000200000330021111000023100000333000200;e6-f6x;1;7;4874;5453;0
