MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2000033220103302111000111110001110033010223300022;b1-b2;0;0;19638;20000;362
3;2;2000033220103302111000111110001110003310223300022;a6-b6;0;0;19638;19012;988
4;3;2000033200103302111000211110011110003310223300022;b2-b3;0;0;18677;19012;961
5;2;2000033220103302111000111110031110003310223000022;b7-b6;0;0;18677;18880;132
6;3;2000033220103300211100111110031110003310223000022;b3-c3;0;0;17965;18880;712
7;2;2000033222103300111100111110033110003010223000022;c6-c5;0;0;17965;15558;3322
8;3;2000033022213300111100111110033110003010223000022;a2-b2;0;0;16933;15558;1032
9;2;2000033222133000111100111110033110003010223000022;g2-f2;0;0;16933;14907;651
10;3;2000033220133000211100111110031110003310223000022;c2-c3;0;0;15557;14907;1376
11;2;2000033221330000211100111110031110003310223000022;f2-e2;0;0;15557;13347;1560
12;3;2000033022133000211100111110031110003310223000022;a2-b2;0;0;12859;13347;2698
13;2;2020033022133000111100111110033110003010223000022;c6-c5;0;0;12859;12287;1060
14;3;2002033022133000111100111110033110003010223000022;c1-d1;0;0;11364;12287;1495
15;2;2002033221330000111100111110033110003010223000022;f2-e2;0;0;11364;10685;1602
16;3;2002033201330002111100111110033110003010223000022;b2-b3;0;0;9648;10685;1716
17;2;2002033221330001111100311110033110000010223000022;b6-b5;0;0;9648;8629;2056
18;3;2002033221330001111100311110033110200010223000020;g7-g6;0;0;7718;8629;1930
19;3;2002033213300001111100311110033110200010223000020;e2-d2x;0;0;7718;6903;1726
20;2;2002033213300001111100031111033110200010223000020;b4-c4;0;0;7718;5522;1381
21;3;2000033213200001131100031111033110200010223001020;d1-d2;0;0;6307;5522;1411
22;3;2000033213200001131100003111033110200010223001020;c4-d4x;0;1;6307;5512;10
23;3;2000033213200001131100000311033110200010223001020;d4-e4x;0;2;6307;5398;114
24;3;2000033213200001131100000031033110200010223001020;e4-f4x;0;3;6307;5064;334
25;2;2000033213200001131100000031003311200010223001020;b5-c5;0;3;6307;4906;158
26;3;2000033213201001131300000011003312200010223001000;f7-f6;0;3;6122;4906;185
27;3;2000033213201001131300000011000331200010223001000;c5-d5x;0;3;6122;4865;41
28;3;2000033213201001131300000011000031200030223001000;d5-d6x;0;4;6122;4826;39
29;3;2000033213201001131300000011000003100030223001000;e5-f5x;0;4;6122;4809;17
30;3;2000033213201001131300000011000000300030223001000;f5-g5x;0;5;6122;4806;3
31;3;2000033213201001131300000011000000300000223003000;d6-d7x;0;6;6122;4799;7
32;2;2000033213201011313000000011000000300000223003000;f3-e3;0;6;6122;4780;19
33;3;0000033213201021313001000011000000300000223003000;a1-a2;0;6;6095;4780;27
34;3;0000033213201013130001000011000000300000223003000;e3-d3x;0;6;6095;4776;4
35;3;0000033213201031300001000011000000300000223003000;d3-c3x;0;7;6095;4774;2
