MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033220103300111000111110001110233010223300020;g7-g6;0;0;19472;20000;528
3;2;2200033220103300111000111110031110233010223000020;b7-b6;0;0;19472;18208;1792
4;3;2200033220103300111000111110031110233012203000020;g6-f6;0;0;16405;18208;3067
5;2;2200003220103300111300111110031110233012203000020;f1-f2;0;0;16405;15680;2528
6;3;2200003220103300111300111110031110233012203000002;f7-g7;0;0;14862;15680;1543
7;2;2200003220103300111300111110003111233012203000002;b5-c5;0;0;14862;12543;3137
8;3;2200003220103300111300111110031112033012203000002;g5-f5;0;0;14352;12543;510
9;2;2200003220100300111300111130031111033012203000022;f2-f3;0;0;14352;12252;291
10;3;2200003220100300111300111130031111033122003000022;f6-e6;0;0;14065;12252;287
11;2;2200003220100300111300111130031111003312203000022;a6-b6;0;0;14065;12006;246
12;3;2200003220103300111300111110031112003312203000002;f7-f6;0;0;13289;12006;776
13;2;2200003220103300111300111110003111203312203000002;b5-c5;0;0;13289;11661;345
14;3;2200003220103300111300111112003111003312203000002;g5-g4;0;0;12992;11661;297
15;2;2200003220100300111300111132003111003312103000022;f2-f3;0;0;12992;11396;265
16;3;2200003220100300111300111132003111003312103000220;g7-f7;0;0;12764;11396;228
17;3;2200003220100300111000111132003113003312103000210;f3-f4x;0;0;12764;11335;61
18;3;2200003220100300111000111102003113003312303000210;f4-f5x;0;1;12764;11230;105
19;3;2200003220100300111000111102003110003312303000230;f5-f6x;0;2;12764;11130;100
20;2;2200003220100300111000111102033110000312303000230;b6-b5;0;2;12764;10904;226
21;3;2200003220110300111000111102033120000312303000030;e7-e6;0;2;12482;10904;282
22;2;2200003220110300111000111102033123000312303000000;f7-f6;0;2;12482;10844;60
23;3;2200003220110300111020111100033123000312303000000;g4-g3;0;2;11929;10844;553
24;2;2200000220110300111030111102033123000312303000000;g1-g2;0;2;11929;10748;96
25;3;2200000220110300111030111120033123000312303000000;g4-f4;0;2;11555;10748;374
26;2;2200000220110300111300111120033123000312303000000;g3-f3;0;2;11555;10649;99
27;3;2000000220110302111300111120033123000312303000000;b1-b2;0;2;11224;10649;331
28;2;2000000220110321113000111120033123000312303000000;f3-e3;0;2;11224;10571;78
29;3;2000100220130321111000111220033123000310303000000;e6-e5;0;2;11157;10571;67
30;2;2000100220130321111000111220033123000313003000000;f6-e6;0;2;11157;10512;59
31;3;2000100220130302111100111220033123000313003000000;a3-b3;0;2;11011;10512;146
32;3;2000300220110302112100111220033133000310003000000;e6-e5x;0;3;11011;10487;25
33;2;2003000220110302112100111220033133000310003000000;e1-d1;0;3;11011;10429;58
34;3;2003000022110302112100111220033133000310003000000;a2-b2;0;3;10009;10429;1002
35;2;2000000022310302112100111220033133000310003001000;d1-d2;0;3;10009;10299;130
36;3;2000000002231302112100111220033133000310003001000;b2-c2;0;3;9305;10299;704
37;2;2000000022313002112100111220033133000310003001000;g2-f2;0;3;9305;9534;765
38;3;2000000022313002112101112200033133000310003001000;f4-e4;0;3;8857;9534;448
39;3;2000000022013002132101111200033233000310003001000;d2-d3x;0;4;8857;9251;283
40;3;2000000022013002102101113200033133000320003001000;d3-d4x;0;5;8857;9088;163
41;3;2000000022013002102101110200033333000310003002000;d4-d5x;0;6;8857;8889;199
42;3;2000000022013002102101110200033033000330003001000;d5-d6x;0;6;8857;8609;280
43;3;2000000022013002102101110200033033000300003003000;d6-d7x;0;7;8857;8464;145
