MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033220103300111000111110001110233010223300020;g7-g6;0;0;19671;20000;329
3;2;2200033220103300111000111110031110233010223000020;b7-b6;0;0;19671;18689;1311
4;3;2200033022103300111000111110031110233010223000020;a2-b2;0;0;17142;18689;2529
5;2;2200003022103300111300111110031110233010223000020;f1-f2;0;0;17142;15602;3087
6;3;2200003022103300111300111110031110033010223000022;g5-g6;0;0;16041;15602;1101
7;2;2200003022103301111300311110031110030010223000022;b6-b5;0;0;16041;14331;1271
8;3;2000003022103302111300111110031110033010223000022;b1-b2;0;0;14412;14331;1629
9;2;2000003022103321113000111110031110033010223000022;f3-e3;0;0;14412;13639;692
10;3;2000003222103301113000111110031110033010223000022;a3-a2;0;0;12876;13639;1536
11;2;2200003212103301113000311110031110030010223000022;b6-b5;0;0;12876;11328;2311
12;3;2200003212103301113000311110031110230010223000020;g7-g6;0;0;10300;11328;2576
13;2;2200003212103301113000311110031110230010220300020;a7-b7;0;0;10300;9062;2266
14;3;2000003222103301113000111110031110233010220300020;b1-b2;0;0;8965;9062;1335
15;2;2200003212103301113000311110031110233010220000020;b7-b6;0;0;8965;8611;451
16;3;2200003210103301213000311110031110233110220000020;c2-c3;0;0;7363;8611;1602
17;3;2100003210103303213000311110031110230110220000020;b6-b5x;0;0;7363;6888;1723
18;3;2100003230103303213000311110001110230110220000020;b5-b4x;0;1;7363;6272;616
19;3;2100003300103303213000311110001110230110220000020;b2-a2x;0;1;7363;6187;85
20;3;3100003000103303213000311110001110230110220000020;a2-a1x;0;1;7363;6143;44
21;2;3100003000103300321300311110001110230110220000020;b3-c3;0;1;7363;6112;31
22;3;3100003000103300321300311110001110230112200000020;g6-f6;0;1;7296;6112;67
23;2;3100003000103300321300031111001110230112200000020;b4-c4;0;1;7296;6098;14
24;3;3100003000103300321300031111001110231122000000020;f6-e6;0;1;7269;6098;27
25;3;3100003000103300321300003111001110231122000000020;c4-d4x;0;2;7269;6095;3
26;3;3100003000103300321300000311001110231122000000020;d4-e4x;0;3;7269;6092;3
27;3;3100003000103300321300000031001110231122000000020;e4-f4x;0;4;7269;6090;2
28;3;3100003000103300321300000003001110231122000000020;f4-g4x;0;5;7269;6087;3
29;2;3100003000103300321300000003001110203112200000020;a6-b6;0;5;7269;6077;10
30;3;3100003000103300321330000002001110003112200000020;g5-g4;0;5;7148;6077;121
31;2;3100003000133000321330000002001110003112200000020;g2-f2;0;5;7148;6068;9
32;3;3100003000133000321330000002001110031122000000020;f6-e6;0;5;7097;6068;51
33;2;3100003000133000321330000002001110001122003000020;a6-a7;0;5;7097;6060;8
34;3;3100003000133000321330000002001110011220003000020;e6-d6;0;5;7021;6060;76
35;2;3100003000133000321330000002101110031220000000020;a7-a6;0;5;7021;6059;1
36;3;3101003000233000301330000002101110031220000000020;d3-d2;0;5;6971;6059;50
37;2;3101003002330000301330000002101110031220000000020;f2-e2;0;5;6971;6048;11
38;3;3101003002330300301320000000101110031220000000020;g4-g3;0;5;6919;6048;52
39;3;3103003002030300301320000000101110031220000000020;d2-d1x;0;6;6919;6048;0
40;2;3103003002030300301320000000101110003122000000020;a6-b6;0;6;6919;6036;12
41;3;3103003000230300301320000000101110003122000000020;c2-d2;0;6;6717;6036;202
42;2;3103003000233000301320000000101110003122000000020;g2-f2;0;6;6717;6015;21
43;3;3103003000233200301300000000101110003122000000020;g3-g2;0;6;6444;6015;273
44;2;0103003300233200301300000000101110003122000000020;a1-a2;0;6;6444;5997;18
45;3;0103003300233200301300000000101110031220000000020;e6-d6;0;6;6349;5997;95
46;2;0103003300233200301301000000301110001220000000020;a6-a5;0;6;6349;5993;4
47;3;0103003302332000301301000000301110001220000000020;g2-f2;0;6;6244;5993;105
48;2;0123003303332000001301000000301110001220000000020;c3-c2;0;6;6244;5970;23
49;3;0123003303332000001301000000301110012200000000020;d6-c6;0;6;6095;5970;149
50;3;0133003300332000001301000000301110012200000000020;c2-c1x;0;6;6095;5964;6
51;2;1330003300332000001301000000301110012200000000020;d1-c1;0;6;6095;5868;96
52;3;1330003300332000001301000000301110010200000200020;b6-b7;0;6;6031;5868;64
53;3;3330003000332000001301000000301110010200000200020;a2-a1x;0;7;6031;5854;14
