MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033220103300111000111110001110033012203300022;g6-f6;0;0;19679;20000;321
3;2;2200033220103300111000111110031110033012203000022;b7-b6;0;0;19679;19279;721
4;3;2200033220103300111000111110031110033122003000022;f6-e6;0;0;18589;19279;1090
5;2;2200033220103300111000111110031110003312203000022;a6-b6;0;0;18589;18262;1017
6;3;2200033220113300111000111110031120003310203000022;e6-e5;0;0;17984;18262;605
7;2;2200033220113300111000111110003112003310203000022;b5-c5;0;0;17984;16831;1431
8;3;2200033220113300111100111120003112003310203000002;f7-f6;0;0;16564;16831;1420
9;2;2200003220113300111300111110003112003310203000022;f1-f2;0;0;16564;15861;970
10;3;2200003220113300111300111110031120003310203000022;f5-e5;0;0;16047;15861;517
11;2;2200003220110300111300111130031121003310203000022;f2-f3;0;0;16047;14010;1851
12;3;2200003220113300111300111110031122003310203000002;f7-f6;0;0;15614;14010;433
13;2;2200003220113300111300111110003112203310203000002;b5-c5;0;0;15614;12515;1495
14;3;2200003220113300111300111112003112003310203000002;g5-g4;0;0;14877;12515;737
15;2;2200003220110300111300111132003111003310203000022;f2-f3;0;0;14877;10852;1663
16;3;2200003220110300111300111132003111003310023000022;f6-g6;0;0;14386;10852;491
17;2;2200003220110300111300111132000311103310023000022;c5-d5;0;0;14386;9493;1359
18;3;2200003220110300111300111132000311103310023000220;g7-f7;0;0;14247;9493;139
19;3;2200003220110300111300111132000031103310023000220;d5-e5x;0;1;14247;8117;1376
20;3;2200003220110300111300111132000003103310023000220;e5-f5x;0;2;14247;7349;768
21;2;2200003220110301113000111132000003103310023000220;f3-e3;0;2;14247;6041;1308
22;3;2200003220110301113020111131000003203310003000220;g6-g5;0;2;11397;6041;2850
23;3;2200003220110301113020111131000000303310003000220;f5-g5x;0;2;11397;5615;426
24;2;2200003220110311130020111131000000303310003000220;e3-d3;0;2;11397;4491;1124
25;3;0220003220110311130020111131000000303310003000220;a1-b1;0;2;9903;4491;1494
26;3;0220003220110311300020111131000000303310003000220;d3-c3x;0;3;9903;4243;248
27;3;0220003220110313000020111131000000303310003000220;c3-b3x;0;4;9903;4039;204
28;3;0220003220110330000020111131000000303310003000220;b3-a3x;0;5;9903;3883;156
29;2;0220003220110330000020111131030000300310003000220;b6-b5;0;5;9903;3159;724
30;3;0220003220110330000200111131030000300310003000220;g3-f3;0;5;7922;3159;1981
31;2;0220003220110303000200111131030000300310003000220;a3-b3;0;5;7922;2559;600
32;3;0020003220110302000200311131010000303310003000220;b1-b2;0;5;7641;2559;281
33;3;0020003220110302000200031113010000303310003000220;b4-c4x;0;6;7641;2340;219
34;2;0020003220110302000200031113013000303010003000220;c6-c5;0;6;7641;2099;241
35;3;0002003220110302000200031113013000303010003000220;c1-d1;0;6;6112;2099;1529
36;2;0002003220110302000200031113130000303010003000220;c5-b5;0;6;6112;1808;291
37;3;0002003020110322000200031113130000303010003000220;a2-a3;0;6;6103;1808;9
38;3;0002003020110322000200031113300000303010003000220;b5-a5x;0;7;6103;1800;8
