MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033220103300111000111110001110233010223300020;g7-g6;0;0;19683;20000;317
3;2;2200003220103300111300111110001110233010223300020;f1-f2;0;0;19683;18704;1296
4;3;2200003022103300111300111110001110233010223300020;a2-b2;0;0;18867;18704;816
5;2;2200003022103301113000111110001110233010223300020;f3-e3;0;0;18867;17881;823
6;3;2200003022103301113000111112001110233010203300020;g6-g5;0;0;15093;17881;3774
7;2;2200003022103311130000111112001110233010203300020;e3-d3;0;0;15093;15362;2519
8;3;2200003022103311130001111120001110233010203300020;g4-f4;0;0;14487;15362;606
9;3;2200003022103311300001111120001110233010203300020;d3-c3x;0;1;14487;15356;6
10;3;2200003022103313000001111120001110233010203300020;c3-b3x;0;2;14487;15313;43
11;3;2200003022103330000001111120001110233010203300020;b3-a3x;0;3;14487;15128;185
12;2;2200003022103300000003111120101110233010203300020;a3-a4;0;3;14487;14138;990
13;2;2200003022103300000001111200101110233010203300020;f4-e4x;0;3;11589;14138;2898
14;2;2200003022103300000001112000101110233010203300020;e4-d4x;1;3;11010;14138;579
15;2;2200003022103300000001120000101110233010203300020;d4-c4x;2;3;10368;14138;642
16;2;2200003022103300000001200000101110233010203300020;c4-b4x;3;3;9921;14138;447
17;3;2200003022103300000001200000101112233010203300000;f7-f6;3;3;9573;14138;348
18;2;2200003022103310000001200000301112233010200300000;a7-a6;3;3;9573;13621;517
19;3;2200003022103310000001200000311122033010200300000;g5-f5;3;3;9283;13621;290
20;2;2200003022103310000001200000031112233010200300000;a5-b5;3;3;9283;13419;202
21;2;2200003022103310000002000000031112233010200300000;b4-a4x;4;3;9248;13419;35
22;3;2200003022103310000002000000311122033010200300000;g5-f5;4;3;9207;13419;41
23;2;2200003022103310000002100000331122033010200000000;b7-b6;4;3;9207;13315;104
24;2;2200003022103310000002100000311220033010200000000;f5-e5x;4;3;9111;13315;96
25;2;2200003022103310000002100000112200033010200000000;e5-d5x;4;3;9059;13315;52
26;2;2200003022103310000002100000122000033010200000000;d5-c5x;5;3;9019;13315;40
27;2;2200003022103310000002100000220000033010200000000;c5-b5x;6;3;8977;13315;42
28;3;2200003020103310200002100000220000033010200000000;c2-c3;6;3;8823;13315;154
29;2;2200003020100310200302100000220000033010200000000;f2-f3;6;3;8823;10651;2664
30;3;2000003020100312200302100000220000033010200000000;b1-b2;6;3;8631;10651;192
31;2;2000003120100322200302100000320000003010200000000;a6-a5;6;3;8631;10632;19
32;2;2000003200100322200302100000320000003010200000000;b2-a2x;7;3;8629;10632;2
