MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033220103300111000111110001110033012203300022;g6-f6;0;0;19652;20000;348
3;2;2200033220103300111000111110031110033012203000022;b7-b6;0;0;19652;19246;754
4;3;2200033220103300111000111110031110033122003000022;f6-e6;0;0;18564;19246;1088
5;2;2200033220103300111000111110031110003312203000022;a6-b6;0;0;18564;18196;1050
6;3;2200033022103300111000111110031110003312203000022;a2-b2;0;0;18004;18196;560
7;2;2200033022103301111000311110031110000312203000022;b6-b5;0;0;18004;17291;905
8;3;2000033022103302111000111110031110003312203000022;b1-b2;0;0;17111;17291;893
9;2;2020033021103302111000111110033110003012203000022;c6-c5;0;0;17111;16858;433
10;3;2020033021103302111000111110033110003122003000022;f6-e6;0;0;16710;16858;401
11;2;2220033021103301111000311110033110000122003000022;b6-b5;0;0;16710;16311;547
12;3;2220033021103301111000311110033110001220003000022;e6-d6;0;0;16241;16311;469
13;2;2220030021103301111030311110033110001220003000022;g1-g2;0;0;16241;15912;399
14;3;2220030002113301111030311110033110001220003000022;b2-c2;0;0;15715;15912;526
15;2;2220030021133001111030311110033110001220003000022;g2-f2;0;0;15715;15625;287
16;3;2220030021133001111030311110033110012200003000022;d6-c6;0;0;15114;15625;601
17;2;2220030021133001111030311110133110032200000000022;a7-a6;0;0;15114;15006;619
18;3;2220030002113301111030311110133110032200000000022;b2-c2;0;0;14554;15006;560
19;2;2220030002113001111030311113133110032200000000022;g2-g3;0;0;14554;14217;789
20;3;2220030000211301111030311113133110032200000000022;c2-d2;0;0;14404;14217;150
21;2;2220030000211001111030311113133110332200000000022;g2-g3;0;0;14404;13886;331
22;2;2220030000211001111030311113133110322000000000022;c6-b6x;0;0;14135;13886;269
23;3;2220030000021101111030311113133110322000000000022;d2-e2;0;0;11458;13886;2677
24;2;2220030000021101111030311113133113022000000000022;g5-f5;0;0;11458;13556;330
25;2;2220030000002101111030311113133113022000000000022;e2-f2x;1;0;11387;13556;71
26;2;2220030000000201111030311113133113022000000000022;f2-g2x;2;0;11352;13556;35
27;3;2220030000000001111020311113133113322000000000022;g2-g3;2;0;11114;13556;238
28;2;2220030001000001111020331113130113322000000000022;c5-c4;2;0;11114;10844;2712
29;3;2200030002000001111020311113133113322000000000022;c1-c2;2;0;10623;10844;491
30;2;2200030002000001111023111130133113322000000000022;g4-f4;2;0;10623;9090;1754
31;3;2200030002000001111023111130133113302200000000022;a6-b6;2;0;9924;9090;699
32;2;2200030002000001111023111100133113302200300000022;f4-f5;2;0;9924;8739;351
33;3;2200030002000001111023111130133113302200200000002;f7-f6;2;0;9836;8739;88
34;3;2200030002000001111023111130331133002200200000002;g5-f5x;2;1;9836;8586;153
35;2;2200030002000001111023111100331133002200300000022;f4-f5;2;1;9836;8175;411
36;3;2200030002000001111023111100331133002200300000220;g7-f7;2;1;8660;8175;1176
37;2;2200030002000001111023111100331133002203000000220;f6-e6;2;1;8660;6539;1636
38;3;2200030002000001111023111100331133002203000002200;f7-e7;2;1;6927;6539;1733
39;2;2200030002000001111020311110331133002203000002200;a4-b4;2;1;6927;6063;476
40;3;2200030002010001111020311310331133002202000002000;e7-e6;2;1;5541;6063;1386
41;2;2200030002010001111020031131331133002202000002000;b4-c4;2;1;5541;5905;158
42;3;2200030002010001111020031131331133002202000000200;d7-e7;2;1;5514;5905;27
43;2;2200030002010001111020031101331133002202300000200;f4-f5;2;1;5514;5871;34
44;3;2200130002010001111020031301331123002202300000000;e7-e6;2;1;5481;5871;33
45;2;2200130002010001111020031301331123002223000000000;f6-e6;2;1;5481;5840;31
46;3;2200130002010001111020031301331123000222300000000;b6-c6;2;1;5435;5840;46
47;2;2200130002010001111020313001331123000222300000000;e4-d4;2;1;5435;5813;27
48;3;2200130002010001111020313201331123000220300000000;e6-e5;2;1;5414;5813;21
49;2;2200130002010001111020313201033112300220300000000;a5-b5;2;1;5414;5784;29
50;3;2200130002010001111023132001033112300220300000000;e4-d4;2;1;5372;5784;42
51;2;2200130002010031111020132001033112300220300000000;a4-a3;2;1;5372;5455;329
52;3;2200130002010031111021320001033112300220300000000;d4-c4;2;1;4788;5455;584
53;2;2200130002010031111021320001033112300223000000000;f6-e6;2;1;4788;4756;699
54;3;2200130000210031111021320001033112300223000000000;c2-d2;2;1;3830;4756;958
55;2;2200130000210031111021320001033112302230000000000;e6-d6;2;1;3830;3804;952
56;2;2200130000210031111023200001033112302230000000000;c4-b4x;3;1;3415;3804;415
57;3;2200130000210031111023200001033112300223000000000;b6-c6;3;1;2731;3804;684
58;2;2200130000210031111023200101033132300220000000000;e6-e5;3;1;2731;3043;761
59;2;2200130000210031111022000101033132300220000000000;b4-a4x;3;1;2663;3043;68
60;3;2200130000210031111022000101033132300022000000000;c6-d6;3;1;2130;3043;533
61;2;2200130000210031111022000101331323000022000000000;g5-f5;3;1;2130;2434;609
62;2;2200130000210031111022000201331323000020000000000;e6-e5x;4;1;1703;2434;427
63;2;2200130000210031112022000201331303000020000000000;e5-e4x;5;1;1640;2434;63
64;2;2200130000220031112022000001331303000020000000000;e4-e3x;6;1;1600;2434;40
65;2;2200230000220031110022000001331303000020000000000;e3-e2x;7;1;1597;2434;3
