MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2000033220103302111000111110001110033010223300022;b1-b2;0;0;19550;20000;450
3;2;2000033220103302111000111110001110003310223300022;a6-b6;0;0;19550;18819;1181
4;3;2000033220103302111000111110001112003310223300002;f7-f6;0;0;18216;18819;1334
5;2;2000033220133002111000111110001112003310223300002;g2-f2;0;0;18216;17980;839
6;3;2000033220133002111100111120001112003310023300002;f6-f5;0;0;17233;17980;983
7;2;2000003220133002111300111110001112003310223300002;f1-f2;0;0;17233;17218;762
8;3;2000003220133002111300111110001112003312203300002;g6-f6;0;0;16776;17218;457
9;2;2000003221133002111300111110003112003012203300002;c6-c5;0;0;16776;15828;1390
10;3;2000003201133002111300211110013112003012203300002;b2-b3;0;0;15479;15828;1297
11;2;2000003221133002111300111110033112003012203000002;b7-b6;0;0;15479;14791;1037
12;3;2000003022113302111300111110033112003012203000002;a2-b2;0;0;13334;14791;2145
13;2;2000003022110302111300111130033111003012203000022;f2-f3;0;0;13334;14009;782
14;3;2000003022110302111300111130033111003122003000022;f6-e6;0;0;12841;14009;493
15;2;2000003022110302111301111300033111003122003000022;f4-e4;0;0;12841;12631;1378
16;3;2000103022110302113301111100033121003120003000022;e6-e5;0;0;11342;12631;1499
17;2;2000103022110302113301111100003312103120003000022;b5-c5;0;0;11342;11595;1036
18;3;2000103020110302213301111100001312103320003010022;c2-c3;0;0;9523;11595;1819
19;2;2000103020110322133001111100001312103320003010022;f3-e3;0;0;9523;11023;572
20;3;2000103020110302133002111100101312103320003010022;a3-a4;0;0;9230;11023;293
21;2;2000103020110321330002111100101312103320003010022;e3-d3;0;0;9230;9667;1356
22;3;2000103020110301330002111100201312113320003010022;a3-a4;0;0;8951;9667;279
23;3;2000103020110301030002131100201312113120003030022;c3-c4x;0;1;8951;9337;330
24;2;2000103020110301030002131100201312110120003330022;b6-b7;0;1;8951;8698;639
25;3;2000103000110302030002131100211312110120003330022;b2-b3;0;1;8073;8698;878
26;2;2000103000110302030002131100211312110120000333022;a7-b7;0;1;8073;8127;571
27;3;2000103000110300030002231100211312111120000333022;b3-b4;0;1;7815;8127;258
28;2;2001103000310300010002233100211212111130000330022;d7-d6;0;1;7815;8091;36
29;2;2001103000310300010002033100221212111130000130022;b4-b5x;0;1;7787;8091;28
30;2;2001103000310300010002033100022121211130000130022;a5-b5x;1;1;7764;8091;23
31;2;2001103000310300010002033100002121212130000130022;b5-b6x;2;1;7737;8091;27
32;2;2001103000310300010002033100002121210130000230022;b6-b7x;3;1;7684;8091;53
33;3;2001103000310300011002033200002101210130000230022;e5-e4;3;1;7137;8091;547
34;2;2001103000310300011002033200002101211300000230022;d6-c6;3;1;7137;7984;107
35;2;2001103000310300012002033000002101211300000230022;e4-e3x;4;1;7115;7984;22
36;3;2001103000310300012002033000000211211300000230022;c5-d5;4;1;7066;7984;49
37;2;2001103000031300012002033000000211211300000230022;d2-e2;4;1;7066;7935;49
38;2;2001303000021300010002033000000211211300000230022;e3-e2x;5;1;7015;7935;51
39;2;2001303000002100010002033000000211211300000230022;e2-f2x;5;1;6887;7935;128
40;2;2001303000000200010002033000000211211300000230022;f2-g2x;6;1;6852;7935;35
41;2;2001302000000000010002033000000211211300000230022;g2-g1x;6;1;6716;7935;136
42;3;2001302000000000010002033000010211212300000030022;b7-b6;6;1;6366;7935;350
43;3;2001302000000000010002033000010211223000000030022;c6-b6x;6;2;6366;6347;1588
44;2;2001302000000000010002033000010211223000000003022;c7-d7;6;2;6366;5077;1270
45;3;2001302000000000010002033000010211202300000003022;a6-b6;6;2;5092;5077;1274
46;2;2001002000030000010002033000010211202300000003022;e1-e2;6;2;5092;4725;352
47;3;2001002000030000010002033000012112002300000003022;g5-f5;6;2;4930;4725;162
48;2;2001002000030000010002033000012112023000000003022;c6-b6;6;2;4930;4544;181
49;3;2001002000030000010002033000121120023000000003022;f5-e5;6;2;4770;4544;160
50;2;2001002000030000010002330000121120023000000003022;d4-c4;6;2;4770;4531;13
51;2;2001002000030000010002330000211200023000000003022;e5-d5x;7;2;4768;4531;2
