MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;0220033220103300111000111110001110033010223300022;a1-b1;0;0;19653;20000;347
3;2;0220033220103300111000111110001110003310223300022;a6-b6;0;0;19653;16525;3475
4;3;0020033220103302111000111110001110003310223300022;b1-b2;0;0;18125;16525;1528
5;2;0020033220133002111000111110001110003310223300022;g2-f2;0;0;18125;15031;1494
6;3;0200033220133002111000111110001110003310223300022;c1-b1;0;0;16443;15031;1682
7;2;0200033221330002111000111110001110003310223300022;f2-e2;0;0;16443;12657;2374
8;3;0200033022133002111000111110001110003310223300022;a2-b2;0;0;14373;12657;2070
9;2;0220033021133002111000111110003110003010223300022;c6-c5;0;0;14373;11454;1203
10;3;0022033021133002111000111110003110003010223300022;b1-c1;0;0;12773;11454;1600
11;3;0012033021133002111000131110000110003010223300022;c5-c4x;0;0;12773;10056;1398
12;3;0012033021133002311000101110000110003010223300022;c4-c3x;0;1;12773;8945;1111
13;3;0012033023133002011000101110000110003010223300022;c3-c2x;0;2;12773;8360;585
14;3;0032033020133002011000101110000110003010223300022;c2-c1x;0;3;12773;7637;723
15;2;0032033020133002011000101110000110033010220300022;a7-a6;0;3;12773;6109;1528
16;3;0032033020133002011000101110000112033010220300002;f7-f6;0;3;10218;6109;2555
17;2;0032033020133002011000101110000112033010223000002;b7-a7;0;3;10218;5229;880
18;3;0032033000133002011000201110010112033010223000002;b2-b3;0;3;9111;5229;1107
19;2;0032033020133002011000101110030112030010223000002;b6-b5;0;3;9111;5004;225
20;3;0032033020133002011100101120030112030010023000002;f6-f5;0;3;8041;5004;1070
21;2;0032003020133002011300101110030112030010223000002;f1-f2;0;3;8041;4769;235
22;3;0032003020133002011300101110031120030010223000002;f5-e5;0;3;7527;4769;514
23;2;0032003020133002011300101110003112030010223000002;b5-c5;0;3;7527;4112;657
24;3;0032033020133002011100101120003112030010023000002;f6-f5;0;3;7121;4112;406
25;2;0032033020133002011100101120000311230010023000002;c5-d5;0;3;7121;3885;227
26;3;0030033020233002011100101120000111230030023001002;d1-d2;0;3;7004;3885;117
27;2;0003033020233002011100101120000111230030023001002;c1-d1;0;3;7004;3722;163
28;3;0003033020023302011100101120000111230030023001002;d2-e2;0;3;6490;3722;514
29;2;0000033020323302011100101120000111230030023001002;d1-d2;0;3;6490;3406;316
30;3;0000033002323302011100101120000111230030023001002;b2-c2;0;3;6100;3406;390
31;3;0000033002023302031100101120000111230010023003002;d2-d3x;0;4;6100;3331;75
32;2;0000330002023302031100101120000111230010023003002;g1-f1;0;4;6100;2935;396
33;2;0000330002002302031100101120000111230010023003002;e2-f2x;0;4;5703;2935;397
34;2;0000330002000202031100101120000111230010023003002;f2-g2x;0;4;5554;2935;149
35;3;0000330000000202231100101120000111230010023003002;c2-c3;0;4;4538;2935;1016
36;2;0000300000003202231100101120000111230010023003002;f1-f2;0;4;4538;2532;403
37;3;0000300000032002231100101120000111230010023003002;g2-f2;0;4;4415;2532;123
38;2;0000300000332002211100101120000111230030023000002;d7-d6;0;4;4415;2222;310
