MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033022103300111000111110001110033010223300022;a2-b2;0;0;19822;20000;178
3;2;2200033022103300111000111110031110033010223000022;b7-b6;0;0;19822;19150;850
4;3;2200033022103300111000111110031112033010223000002;f7-f6;0;0;18670;19150;1152
5;2;2200033022133000111000111110031112033010223000002;g2-f2;0;0;18670;15319;3831
6;3;2200033002213300111000111110031112033010223000002;b2-c2;0;0;15110;15319;3560
7;2;2200033002213301111000311110031112030010223000002;b6-b5;0;0;15110;12255;3064
8;2;2200033000221301111000311110031112030010223000002;c2-d2x;0;0;12087;12255;3023
9;2;2200033000022101111000311110031112030010223000002;d2-e2x;0;0;9830;12255;2257
10;2;2200033000002201111000311110031112030010223000002;e2-f2x;1;0;8793;12255;1037
11;2;2200023000000201111000311110031112030010223000002;f2-f1x;1;0;8341;12255;452
12;2;2200002000000201111000311110031112030010223000002;f1-g1x;1;0;8060;12255;281
13;3;2200002000000201111000311110311120030010223000002;f5-e5;1;0;7881;12255;179
14;2;2200002000000201111000311110311120030010220300002;a7-b7;1;0;7881;12214;41
15;2;2200002000000201111000311110111200030010220300002;e5-d5x;1;0;7840;12214;41
16;2;2200002000000201111000311110112000030010220300002;d5-c5x;2;0;7794;12214;46
17;2;2200002000000201111000311110120000030010220300002;c5-b5x;3;0;7760;12214;34
18;2;2200002000000201111000311110200000030010220300002;b5-a5x;4;0;7719;12214;41
19;3;2200002000000201111000311110020000030010220300002;a5-b5;4;0;7632;12214;87
20;2;2200002000000201111000311110020000033010220000002;b7-b6;4;0;7632;12132;82
21;3;2200002000000201111000311110002000033010220000002;b5-c5;4;0;7513;12132;119
22;2;2200002010000203111000011110002000033010220000002;b4-b3;4;0;7513;12019;113
23;3;2200002011000203111000021110000000033010220000002;c5-c4;4;0;7488;12019;25
24;3;2100002031000200111000021110000000033010220000002;b3-b2x;4;0;7488;11967;52
25;2;2100002003100200111000021110000000033010220000002;b2-c2;4;0;7488;11863;104
26;3;0210002003100200111000021110000000033010220000002;a1-b1;4;0;7227;11863;261
27;2;0210002000310200111000021110000000033010220000002;c2-d2;4;0;7227;11627;236
28;3;0021002000310200111000021110000000033010220000002;b1-c1;4;0;7076;11627;151
29;2;0021002000031200111000021110000000033010220000002;d2-e2;4;0;7076;11524;103
30;3;0021002000312000111000021110000000033010220000002;g2-f2;4;0;7045;11524;31
31;2;0021002000312000111000021110000000003310220000002;a6-b6;4;0;7045;10319;1205
32;3;0021002000312000111000002111000000003310220000002;c4-d4;4;0;6840;10319;205
33;2;0021002000312000111000002111000000000331220000002;b6-c6;4;0;6840;9983;336
34;2;0021002000312000111000000211000000000331220000002;d4-e4x;5;0;6831;9983;9
35;2;0021002000312000111000000021000000000331220000002;e4-f4x;6;0;6826;9983;5
36;2;0021002000312000111000000002000000000331220000002;f4-g4x;7;0;6823;9983;3
