MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;0220033220103300111000111110001110033010223300022;a1-b1;0;0;19648;20000;352
3;2;0220033220133000111000111110001110033010223300022;g2-f2;0;0;19648;16780;3220
4;3;0220033220133000111000111110001112033010223300002;f7-f6;0;0;17611;16780;2037
5;2;0220033220133000111000111110031112033010223000002;b7-b6;0;0;17611;15426;1354
6;3;0020033220133002111000111110031112033010223000002;b1-b2;0;0;15872;15426;1739
7;2;0020033220103002113000111110031112033011223000002;e2-e3;0;0;15872;12870;2556
8;3;0020033220103002113100111120031112033011023000002;f6-f5;0;0;14569;12870;1303
9;2;0020003220103002113300111110031112033011223000002;f1-f2;0;0;14569;11935;935
10;3;0020003220103000211330111110031112033011223000002;b3-c3;0;0;13531;11935;1038
11;2;0020003220103001211330311110031112030011223000002;b6-b5;0;0;13531;10851;1084
12;3;0020003220103001211330311110311120030011223000002;f5-e5;0;0;12022;10851;1509
13;2;0020003220100001211330311130311121030011223000002;f2-f3;0;0;12022;10520;331
14;3;0020003200100002211330111130331121031011223000002;b2-b3;0;0;11618;10520;404
15;2;0020003200100002211300111133331121031011223000002;g3-g4;0;0;11618;10277;243
16;3;0020003200100000211300211133311121033011223100002;b3-b4;0;0;11479;10277;139
17;2;0020003200100000211302111330311121033011223100002;g4-f4;0;0;11479;10223;54
18;3;0020003200100000211300111330211121033011223100002;a4-a5x;0;0;11427;10223;52
19;2;0020003200100000211301113300211121033011223100002;f4-e4;0;0;11427;10143;80
20;3;0000003202100000211301113300211121033011223100002;c1-c2;0;0;11291;10143;136
21;3;0000003202100000211301133000211121033011223100002;e4-d4x;0;1;11291;9955;188
22;3;0000003202100000211301330000211121033011223100002;d4-c4x;0;2;11291;9724;231
23;3;0000003202100000211301030000231121031011223300002;b4-b5x;0;3;11291;9543;181
24;2;0000003202100000211301330000211121033011223000002;b7-b6;0;3;11291;9014;529
25;3;0000003202100000211301330000211101033012223000102;e5-e6;0;3;10856;9014;435
26;3;0000003202100000211303300000211101033012223000102;c4-b4x;0;4;10856;8701;313
27;2;0000003202100003211303100000231101030012223000102;b6-b5;0;4;10856;7954;747
28;3;0000003202100003211303100000231101030122203000102;g6-f6;0;4;9864;7954;992
29;2;0000003202100003211303100000231101030122200300102;a7-b7;0;4;9864;7172;782
30;3;0000003202100003211303101000231201030102200300102;d6-d5;0;4;8697;7172;1167
31;2;0000003202100032113003101000231201030102200300102;f3-e3;0;4;8697;6117;1055
32;3;0001003202100032113003102000231001030102200300102;d5-d4;0;4;7594;6117;1103
33;2;2001003302100032113002102000331001000102200300102;a6-a5x;0;4;7594;5927;190
34;2;2001003302100032123002100000331001000102200300102;d4-d3x;1;4;7332;5927;262
35;2;2001003302200032103002100000331001000102200300102;d3-d2x;2;4;6980;5927;352
36;2;2002003302000032103002100000331001000102200300102;d2-d1x;3;4;6519;5927;461
37;2;2002003302000032103002100000331001000100200300202;e6-e7x;4;4;5320;5927;1199
38;3;2002003302000032103002100000331001000100220300200;g7-g6;4;4;4255;5927;1065
39;2;2002003302000032103002100000331001000100223000200;b7-a7;4;4;4255;4741;1186
40;3;0202003302000032103002100000331001000100223000200;a1-b1;4;4;3850;4741;405
41;2;0202003302000032130002100000331001000100223000200;e3-d3;4;4;3850;3869;872
42;3;0202003302000032130000210000331001000100223000200;a4-b4;4;4;3079;3869;771
43;2;0202003302000003213000210000331001000100223000200;a3-b3;4;4;3079;3141;728
44;3;0202003302000003213000210000331001000102223000000;e7-e6;4;4;2925;3141;154
45;2;0202003302000003213000210000033101000102223000000;a5-b5;4;4;2925;2512;629
46;3;0002003322000003213000210000033101000102223000000;b1-b2;4;4;2767;2512;158
47;2;0002003032200003213000210000033101000102223000000;a2-b2;4;4;2767;2449;63
48;3;0000003032200003223000211000033101000102223000000;d1-d2;4;4;2691;2449;76
49;2;0000003003220003223000211000033101000102223000000;b2-c2;4;4;2691;2305;144
50;3;0000003003220003223000021100033101000102223000000;b4-c4;4;4;2632;2305;59
