MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033220103300111000111110001110233010223300020;g7-g6;0;0;19684;20000;316
3;2;2200033220103300111000111110031110233010223000020;b7-b6;0;0;19684;18728;1272
4;3;2200033220103300111000111110031110233012203000020;g6-f6;0;0;17544;18728;2140
5;2;2200003220103300111300111110031110233012203000020;f1-f2;0;0;17544;17120;1608
6;3;2200003220103300111300111110031110233012203000002;f7-g7;0;0;16557;17120;987
7;2;2200003220103300111300111110003111233012203000002;b5-c5;0;0;16557;15273;1847
8;3;2200003220103300111300111110031112033012203000002;g5-f5;0;0;16259;15273;298
9;2;2200003220100300111300111130031111033012203000022;f2-f3;0;0;16259;14643;630
10;3;2200003220100300111300111130031111033122003000022;f6-e6;0;0;15942;14643;317
11;2;2200003220100300111300111130031111003312203000022;a6-b6;0;0;15942;14336;307
12;3;2200003220103300111300111110031112003312203000002;f7-f6;0;0;15548;14336;394
13;2;2200003220103300111300111110031112000331223000002;b6-c6;0;0;15548;13213;1123
14;3;2200033220103300111100111120031112000331023000002;f6-f5;0;0;15166;13213;382
15;2;2200033220103300111100111120003111200331023000002;b5-c5;0;0;15166;13039;174
16;3;2000033220103302111100111120003111200331023000002;b1-b2;0;0;14928;13039;238
17;3;2000033220103302111100111120000311100331023000002;c5-d5x;0;0;14928;12934;105
18;3;2000033220103302111100111120000031100331023000002;d5-e5x;0;1;14928;12823;111
19;2;2000003220103302111300111110000032100331123000002;f1-f2;0;1;14928;12706;117
20;3;2000003220103302111300111110000032103311203000002;g6-f6;0;1;14648;12706;280
21;3;2000003220103302111300111110000003203311203000002;e5-f5x;0;2;14648;12231;475
22;3;2000003220103302111300111110000000303311203000002;f5-g5x;0;2;14648;11889;342
23;2;2000003220103321113000111110000000303311203000002;f3-e3;0;2;14648;11322;567
24;3;2000003220103321113000111110000000333112003000002;f6-e6;0;2;11789;11322;2859
25;3;2000003220103311130000111110000000333112003000002;e3-d3x;0;2;11789;11268;54
26;3;2000003220103311300000111110000000333112003000002;d3-c3x;0;3;11789;11181;87
27;3;2000003220103313000000111110000000333112003000002;c3-b3x;0;4;11789;11134;47
28;3;2000003220103330000000111110000000333112003000002;b3-a3x;0;5;11789;11081;53
29;3;2000003320103300000000111110000000333112003000002;a3-a2x;0;5;11789;11054;27
30;3;3000003020103300000000111110000000333112003000002;a2-a1x;0;5;11789;10970;84
31;2;3000003020103300000000111110000000303311203000002;a6-b6;0;5;11789;10578;392
32;3;3000003020103300000000111110000000303311203000020;g7-f7;0;5;9431;10578;2358
33;2;3000003020103300000000111110000000300331123000020;b6-c6;0;5;9431;10202;376
34;3;3000003020103300000000111110000001300331223000000;f7-f6;0;5;9055;10202;376
35;3;3000003020103300000000111110000001300033123000000;c6-d6x;0;5;9055;10072;130
36;3;3000003020103300000000111110000001300003313000000;d6-e6x;0;5;9055;9826;246
37;3;3000003020103300000000111110000001300000333000000;e6-f6x;0;6;9055;9615;211
38;2;3000003020103300000000111113000001300000303000000;g6-g5;0;6;9055;9376;239
39;3;3200003000103300000000111113000001300000303000000;b2-b1;0;6;8737;9376;318
40;2;3200003000103300000001111130000001300000303000000;g4-f4;0;6;8737;9191;185
41;3;3000003020103300000001111130000001300000303000000;b1-b2;0;6;8676;9191;61
42;3;3000003020103300000001111300000001300000303000000;f4-e4x;0;7;8676;9091;100
