MoveNr.;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
80;2;0000100000030200032000001010000303020010000000000;d2-d3;5;4;572;549;9
81;2;0000300000020200030000001010000303020010000000000;e3-e2x;6;4;559;549;13
82;3;0000300000020200030000001010000303020010000000000;ERROR1-ERROR1;6;4;447;549;112
83;2;0000300000020200000000003010000103020030000001000;d3-d4;6;4;447;479;70
84;3;0000300000020000000020003010000103020030000001000;g2-g3;6;4;392;479;55
85;2;0000300000020000000120003030000100020030000001000;f5-f4;6;4;392;453;26
86;3;0020300000020000000120003030000100020030000001000;ERROR1-c1;6;4;349;453;43
87;2;0020300000020000000120003030000100020300000001000;d6-c6;6;4;349;436;17
88;3;0020300000020000000120003030000100000300002001000;a6-a7;6;4;280;436;69
89;2;0020030000020000000120003030000100000300002001000;e1-f1;6;4;280;405;31
90;3;0020030000002000000120003030000100000300002001000;e2-f2;6;4;223;405;57
91;2;0020000000003000000220003010000103000300002001000;f1-f2;6;4;223;385;20
92;3;0020000000003000000200003012000103000300002001000;g3-g4;6;4;197;385;26
93;2;0020000000003000000200000012000303000310002001000;d4-d5;6;4;197;358;27
94;3;0020000000003000000200000012000303000310000201000;a7-b7;6;4;157;358;40
95;2;0020030000002000000100000032000300000310000201000;f5-f4;6;4;157;345;13
96;3;0020030000002000000100000320000300000310000201000;g4-f4;6;4;132;345;25
97;3;0020030000002000000100000320000000000330000201000;d5-d6x;6;5;132;336;9
98;2;0020030000002000000100000032000000000330000201000;e4-f4;6;5;132;328;8
99;3;0020030000002000000120000030000000000330000201000;g4-g3;6;5;105;328;27
100;2;0020000000003000000220000010000003000330000201000;f1-f2;6;5;105;309;19
101;3;0020000000003000000220000010000003002330000001000;b7-b6;6;5;83;309;22
102;2;0020000000003000000220000010000000302330000001000;f5-g5;6;5;83;294;15
103;3;0020000000003000000220000010020000300330000001000;b6-b5;6;5;66;294;17
104;2;0020000000003000000220000010023000300030000001000;c6-c5;6;5;66;272;22
105;3;0020000000003000000220200010003000300030000001000;b5-b4;6;5;52;272;14
106;2;0020000000000000000320200020003001300030000001000;f2-f3;6;5;52;237;35
107;3;0020000000000000000320000020023001300030000001000;b4-b5;6;5;41;237;11
108;2;0020000000000000000320000020230001300030000001000;c5-b5;6;5;41;223;14
109;3;0020000000000000000322000020030001300030000001000;a5-a4;6;5;32;223;9
110;2;0020000000000000000322300020000001300030000001000;b5-b4;6;5;32;203;20
111;3;0020000000000000000322300200000001300030000001000;f4-e4;6;5;25;203;7
112;3;0020000000000000000322300200000001300000000003000;d6-d7x;6;6;25;190;13
113;2;0020000000000000000322300200000001300030000000000;d7-d6;6;6;25;166;24
114;3;0020000000000000002322300000000001300030000000000;e4-e3;6;6;19;166;6
115;3;0020000000000000002323000000000001300030000000000;b4-a4x;6;6;19;156;10
116;2;0020000000000000002323000000000301300000000000000;d6-d5;6;6;19;140;16
117;3;0020000000000200002303000000000301300000000000000;g3-g2;6;6;15;140;4
118;2;0020000000000200002300300000000301300000000000000;a4-b4;6;6;15;111;29
119;3;0020000000020200000300300000000301300000000000000;e3-e2;6;6;11;111;4
120;2;0020000000020200000300300000000313000000000000000;g5-f5;6;6;11;88;23
121;3;0020002000020000000300300000000313000000000000000;g2-g1;6;6;8;88;3
122;2;0020002000020000000300300000000310000000300000000;f5-f6;6;6;8;70;18
123;3;0020202000000000000300300000000310000000300000000;e2-e1;6;6;6;70;2
124;2;0020202000000000000300300000000313000000000000000;f6-f5;6;6;6;55;15
125;3;0020200000000200000300300000000313000000000000000;g1-g2;6;6;4;55;2
126;2;0020200000000200000300300000000310000000300000000;f5-f6;6;6;4;43;12
127;3;0020202000000000000300300000000310000000300000000;g2-g1;6;6;3;43;1
128;2;0020202000000000000300300000000313000000000000000;f6-f5;6;6;3;34;9
129;3;0020200000000200000300300000000313000000000000000;g1-g2;6;6;2;34;1
130;2;0020200000000200000300300030000310000000000000000;f5-f4;6;6;2;27;7
131;3;0020202000000000000300300030000310000000000000000;g2-g1;6;6;1;27;1
132;2;0020202000000000000300303030000010000000000000000;d5-d4;6;6;1;21;6
133;3;0020200000000200000300303030000010000000000000000;g1-g2;6;6;0;21;1
134;2;0020200000000200000300303300000010000000000000000;f4-e4;6;6;0;16;5
135;3;0020200000000000000320303300000010000000000000000;g2-g3;6;6;-1;16;1
