MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033022103300111000111110001110033010223300022;a2-b2;0;0;19647;20000;353
3;2;2200003022103300111300111110001110033010223300022;f1-f2;0;0;19647;18295;1705
4;3;2200003002213300111300111110001110033010223300022;b2-c2;0;0;18286;18295;1361
5;2;2200003022133000111300111110001110033010223300022;g2-f2;0;0;18286;17219;1076
6;3;2200003020133000211300111110001110033110223300022;c2-c3;0;0;16777;17219;1509
7;2;2200003020133002113000111110001110033110223300022;f3-e3;0;0;16777;16500;719
8;3;2000003020133002113000211110011110033110223300022;b1-b2;0;0;15575;16500;1202
9;2;2200003020133002113000111110031110033110223000022;b7-b6;0;0;15575;16027;473
10;3;2200003020133000211300111110031110033110223000022;b3-c3;0;0;13868;16027;1707
11;2;2200003020133001211300311110031110030110223000022;b6-b5;0;0;13868;14667;1360
12;3;2200003200133001211300311110031110030110223000022;b2-a2;0;0;11094;14667;2774
13;2;2200003201330001211300311110031110030110223000022;f2-e2;0;0;11094;11733;2934
14;3;0220003201330001211300311110031110030110223000022;a1-b1;0;0;10470;11733;624
15;2;0220003213300001211300311110031110030110223000022;e2-d2;0;0;10470;9438;2295
16;3;0220003213300001211300311110031110030112203000022;g6-f6;0;0;8637;9438;1833
17;3;0220003133000001211300311110031110030112203000022;d2-c2x;0;0;8637;7550;1888
18;3;0220003330000001211300311110031110030112203000022;c2-b2x;0;1;8637;7459;91
19;3;0320003310000003211300311110001110030112203000022;b5-b4x;0;1;8637;7430;29
20;2;0020003330000001211300311110031110030112203000022;b1-b2;0;1;8637;7362;68
21;3;0020003330000001211300311110031110031122003000022;f6-e6;0;1;8529;7362;108
22;2;0020003330000001211300311110031110003112203000022;a6-b6;0;1;8529;7353;9
23;3;0000003332000001211300311110031110003112203000022;c1-c2;0;1;8347;7353;182
24;2;0300003312000003211300311110031110000112203000022;b6-b5;0;1;8347;7338;15
25;2;0300003120000003211300311110031110000112203000022;c2-b2x;0;1;8264;7338;83
26;3;0300003120000003211300311110031112000112203000002;f7-f6;0;1;8145;7338;119
27;2;0000003130000002211300311110031112003112203000002;b1-b2;0;1;8145;7311;27
28;3;0000003130000002211300311110031112031122003000002;f6-e6;0;1;7971;7311;174
29;3;0000003300000002211300311110031112031122003000002;b2-a2x;0;2;7971;7308;3
30;2;0000003300000002211300311110031112003112203000002;a6-b6;0;2;7971;7294;14
31;3;0000003300000002211300311110311120003112203000002;f5-e5;0;2;7812;7294;159
32;2;0000003300000002211000311130311121003112203000002;f3-f4;0;2;7812;7256;38
33;3;0000003300000000211000211130331121001112203300002;b3-b4;0;2;7735;7256;77
34;2;0000003300000000211002111300331121001112203300002;f4-e4;0;2;7735;7242;14
35;3;0000003300000000211000111300231121031112203300002;a4-a5;0;2;7682;7242;53
