MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033220103300111000111110001110233010223300020;g7-g6;0;0;19555;20000;445
3;2;2200003220103300111300111110001110233010223300020;f1-f2;0;0;19555;18164;1836
4;3;2200003220103300111300111110001110233012203300020;g6-f6;0;0;18371;18164;1184
5;2;2200003220103300111300111110031110233012203000020;b7-b6;0;0;18371;17619;545
6;3;2200003220103300111300111110031110233012203000002;f7-g7;0;0;16975;17619;1396
7;2;2200003220103300111300111110003111233012203000002;b5-c5;0;0;16975;14702;2917
8;3;2200003220103300111300111110031112033012203000002;g5-f5;0;0;16541;14702;434
9;2;2200003220100300111300111130031111033012203000022;f2-f3;0;0;16541;13780;922
10;3;2200003220100300111300111130031111033122003000022;f6-e6;0;0;16237;13780;304
11;2;2200003220100300111300111130031111003312203000022;a6-b6;0;0;16237;13292;488
12;3;2200003220103300111300111110031112003312203000002;f7-f6;0;0;15506;13292;731
13;2;2200003220103300111300111110031112000331223000002;b6-c6;0;0;15506;11696;1596
14;3;2200003220103300111300111110311120000331223000002;f5-e5;0;0;15176;11696;330
15;3;2200003220103300111300111110311120000033123000002;c6-d6x;0;0;15176;11633;63
16;3;2200003220103300111300111110311120000003313000002;d6-e6x;0;0;15176;11503;130
17;2;2200003220100300111300111130311121000003313000002;f2-f3;0;0;15176;11186;317
18;3;2200003022100300111300111130311121000003313000002;a2-b2;0;0;14924;11186;252
19;3;2200003022100300111300111130311121000000333000002;e6-f6x;0;1;14924;10616;570
20;3;2200003022100300111300111130311121000000303000003;g6-g7x;0;1;14924;10410;206
21;2;2200003022100300111300111130031112100000303000003;a5-b5;0;1;14924;10002;408
22;3;2000003022100302111300111130031112100000303000003;b1-b2;0;1;14630;10002;294
23;3;2000003022100302111300111130003111200000303000003;b5-c5x;0;2;14630;9926;76
24;3;2000003022100302111300111130000311100000303000003;c5-d5x;0;2;14630;9855;71
25;3;2000003022100302111300111130000031100000303000003;d5-e5x;0;3;14630;9819;36
26;3;2000003022100302111300111130000003100000303000003;e5-f5x;0;4;14630;9776;43
27;3;2000003022100302111300111130000000300000303000003;f5-g5x;0;5;14630;9738;38
28;2;2000003022100302111301111300000000300000303000003;f4-e4;0;5;14630;9496;242
29;3;2000003002100302111301211300010000300000303000003;b2-b3;0;5;13605;9496;1025
30;3;2000003002100302111302113000010000300000303000003;e4-d4x;0;6;13605;9308;188
31;3;2000003002100302111301130000010000300000303000003;d4-c4x;0;6;13605;9089;219
32;3;2000003002100302111301300000010000300000303000003;c4-b4x;0;7;13605;9064;25
