MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2000033220103302111000111110001110033010223300022;b1-b2;0;0;19699;20000;301
3;2;2000033220103302111000111110001110003310223300022;a6-b6;0;0;19699;19087;913
4;3;2000033200103302111000211110011110003310223300022;b2-b3;0;0;18819;19087;880
5;2;2000033220103302111000111110031110003310223000022;b7-b6;0;0;18819;18961;126
6;3;2000033220103300211100111110031110003310223000022;b3-c3;0;0;16510;18961;2309
7;2;2000033222103300111100111110033110003010223000022;c6-c5;0;0;16510;15862;3099
8;3;2000033022213300111100111110033110003010223000022;a2-b2;0;0;15586;15862;924
9;2;2000033222133000111100111110033110003010223000022;g2-f2;0;0;15586;15301;561
10;3;2000033220133000211100111110031110003310223000022;c2-c3;0;0;14348;15301;1238
11;2;2000033221330000211100111110031110003310223000022;f2-e2;0;0;14348;13873;1428
12;3;2000033022133000211100111110031110003310223000022;a2-b2;0;0;11634;13873;2714
13;2;2020033022133000111100111110033110003010223000022;c6-c5;0;0;11634;12890;983
14;3;2002033022133000111100111110033110003010223000022;c1-d1;0;0;10448;12890;1186
15;2;2002033221330000111100111110033110003010223000022;f2-e2;0;0;10448;11434;1456
16;3;2000233221330000111100111110033110003010223000022;d1-e1;0;0;8777;11434;1671
17;3;2000233213300000111100111110033110003010223000022;e2-d2x;0;0;8777;10493;941
18;3;2000233133000000111100111110033110003010223000022;d2-c2x;0;0;8777;9466;1027
19;3;2000233330000000111100111110033110003010223000022;c2-b2x;0;1;8777;8951;515
20;3;3000233030000000111100111110033110003010223000022;a2-a1x;0;1;8777;8759;192
21;2;3000203030003000111100111110033110003010223000022;f1-f2;0;1;8777;8521;238
22;3;3000023030003000111100111110033110003010223000022;e1-f1;0;1;8042;8521;735
23;2;3000020030003300111100111110033110003010223000022;g1-g2;0;1;8042;8223;298
24;3;3000020030003300111100111110033110003012203000022;g6-f6;0;1;7492;8223;550
25;2;3000020030003301111100311110033110000012203000022;b6-b5;0;1;7492;7823;400
26;3;3000002030003301111100311110033110000012203000022;f1-g1;0;1;6456;7823;1036
27;3;3000003030003001111100311110033110000012203000022;g2-g1x;0;1;6456;7226;597
28;2;3300003010003003111100311110003110000012203000022;b5-b4;0;1;6456;6803;423
29;3;3300003010003003111100311110003112000012203000002;f7-f6;0;1;5562;6803;894
30;2;3300003010003003111100031111003112000012203000002;b4-c4;0;1;5562;5793;1010
31;3;3300033010001003111100031121003112000012003000002;f6-f5;0;1;4846;5793;716
32;3;3300033010001003111100003112003112000012003000002;c4-d4x;0;2;4846;5336;457
33;3;3300033010001003111100000311003112000012003000002;d4-e4x;0;2;4846;5043;293
34;3;3300033010001003111100000031003112000012003000002;e4-f4x;0;3;4846;4939;104
35;3;3300033010001003111100000003003112000012003000002;f4-g4x;0;4;4846;4807;132
36;2;3300033010001000311110000003003112000012003000002;b3-c3;0;4;4846;4465;342
37;3;3300033010001000311110000003031120000012003000002;f5-e5;0;4;4626;4465;220
38;3;3300033010001000031110000003031120000012003000002;c3-d3x;0;5;4626;4380;85
39;3;3300033010001000003110000003031120000012003000002;d3-e3x;0;6;4626;4311;69
40;3;3300033010001000000310000003031120000012003000002;e3-f3x;0;7;4626;4273;38
