MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033220103300111000111110001110033012203300022;g6-f6;0;0;19675;20000;325
3;2;2200033220103300111000111110031110033012203000022;b7-b6;0;0;19675;19275;725
4;3;2200033220103300111000111110031110033012203000220;g7-f7;0;0;18551;19275;1124
5;2;2200003220103300111300111110031110033012203000220;f1-f2;0;0;18551;17448;1827
6;3;2200003220113300111300111110031120033012203000020;e7-e6;0;0;18027;17448;524
7;2;2200003220110300111300111130031121033012203000020;f2-f3;0;0;18027;16925;523
8;3;2200003220113300111300111110031122033012203000000;f7-f6;0;0;17886;16925;141
9;2;2200003220113300111300111110003112233012203000000;b5-c5;0;0;17886;16512;413
10;3;2200003220113300111300111112003112033012203000000;g5-g4;0;0;16450;16512;1436
11;2;2200003220113300111300111112000311233012203000000;c5-d5;0;0;16450;15563;949
12;3;2200003220113300111320111112000311033012203000000;g5-g4;0;0;16326;15563;124
13;2;2200000220113300111330111112000311233012203000000;g1-g2;0;0;16326;14975;588
14;3;2200000220113300111330111112003112033012203000000;g5-f5;0;0;16092;14975;234
15;2;2200000220110300111330111132003111033012203000020;f2-f3;0;0;16092;13598;1377
16;3;2200000220110300111330111132003111033122003000020;f6-e6;0;0;14774;13598;1318
17;2;2200000220110300111330111132003111003312203000020;a6-b6;0;0;14774;13263;335
18;3;2200000220113300111330111112003112003312203000000;f7-f6;0;0;13427;13263;1347
19;2;2200000220113300111330111112003112000331223000000;b6-c6;0;0;13427;12713;550
20;3;2200030220113300111130111122003112000331023000000;f6-f5;0;0;13134;12713;293
21;2;2200030220113300111130111122000311200331023000000;c5-d5;0;0;13134;12511;202
22;3;2000030220113302111130111122000311200331023000000;b1-b2;0;0;13053;12511;81
23;3;2000030220113302111130111122000031100331023000000;d5-e5x;0;0;13053;12452;59
24;3;2000030220113302111130111122000003100331023000000;e5-f5x;0;1;13053;12333;119
25;2;2000030220113321111300111122000003100331023000000;g3-f3;0;1;13053;11229;1104
26;3;2000030220113321111320111121000003200331003000000;g6-g5;0;1;13009;11229;44
27;3;2000030220113321111320111121000000300331003000000;f5-g5x;0;1;13009;11186;43
28;2;2000300220113321111320111121000000300331003000000;f1-e1;0;1;13009;11056;130
29;3;0000300220113321111322111121000000300331003000000;a1-a2;0;1;10407;11056;2602
30;2;0000000220133321111322111121000010300331003000000;e1-e2;0;1;10407;10794;262
31;3;0000030220133321111222111101000010300331003000000;f4-f3;0;1;9053;10794;1354
32;2;0000300220133321111222111101000010300331003000000;f1-e1;0;1;9053;10554;240
33;3;0000300220133321111220211111000010300331003000000;a4-b4;0;1;8970;10554;83
34;2;0000300220133021111230211112000010100331033000000;g2-g3;0;1;8970;10141;413
35;2;0000300220133002111120211112000010100331033000000;a3-b3x;0;1;8853;10141;117
36;3;0000300220133002111100211112000010200331013000003;g3-g4;0;1;8047;10141;806
37;2;0000300220133002111100211112000310200301013000003;d6-d5;0;1;8047;8112;2029
38;2;0000300220133002111100211110000310200301023000001;g4-g5x;0;1;7838;8112;209
39;2;0000300220133002111100211110000310000301023000002;g5-g6x;1;1;7307;8112;531
40;3;0000300220133000211110211110000310000301023000002;b3-c3;1;1;5845;8112;1462
41;2;0000300220133000211110211110003310000001023000002;c6-c5;1;1;5845;6951;1161
42;2;0000300220133000021110211110003310000001023000002;c3-d3x;2;1;5744;6951;101
43;2;0000300220133000002110211110003310000001023000002;d3-e3x;3;1;5700;6951;44
44;2;0000300220133000000210211110003310000001023000002;e3-f3x;4;1;5638;6951;62
45;2;0000300220133000000020211110003310000001023000002;f3-g3x;5;1;5531;6951;107
46;3;0000300200133002000020211110003310000001023000002;b2-b3;5;1;4942;6951;589
47;2;0000300200133002000020211110003310030001020000002;a7-a6;5;1;4942;5560;1391
48;3;0000300200133002000020021111003310030001020000002;b4-c4;5;1;4718;5560;224
49;2;0000300200133002200020031111000310030001020000002;c5-c4;5;1;4718;5036;524
50;3;0000300200133000200020231111000310030001020000002;b3-b4;5;1;4648;5036;70
51;2;0000300202133000300020201111000310030001020000002;c4-c3;5;1;4648;4028;1008
52;3;0000300202133000300020021111000310030001020000002;b4-c4;5;1;4408;4028;240
53;2;0000330202130000300020021111000310030001020000002;f2-f1;5;1;4408;3924;104
54;2;0000330202130000300020002111000310030001020000002;c4-d4x;6;1;4391;3924;17
55;2;0000330202130000300020000211000310030001020000002;d4-e4x;7;1;4385;3924;6
