MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033022103300111000111110001110033010223300022;a2-b2;0;0;19667;20000;333
3;2;2200003022103300111300111110001110033010223300022;f1-f2;0;0;19667;18560;1440
4;3;2200003002213300111300111110001110033010223300022;b2-c2;0;0;18526;18560;1141
5;2;2200003022133000111300111110001110033010223300022;g2-f2;0;0;18526;17539;1021
6;3;2200003022133000111300111110001110033012203300022;g6-f6;0;0;17421;17539;1105
7;2;2200003022130000111300111130001111033012203300022;f2-f3;0;0;17421;16708;831
8;3;2200003022133000111300111110001112033012203300002;f7-f6;0;0;17223;16708;198
9;2;2200003022103000113300111110001112033011203300202;e2-e3;0;0;17223;15902;806
10;3;2200003002213000113300111110001112033011203300202;b2-c2;0;0;16953;15902;270
11;2;2200003002210000113300111130001111033011203300222;f2-f3;0;0;16953;14765;1137
12;3;2200003000221000113300111130001111033011203300222;c2-d2;0;0;16813;14765;140
13;2;2200003000221000113300111130031111033011203000222;b7-b6;0;0;16813;14298;467
14;3;2200203000231000111300111130031111033012203000022;e7-e6;0;0;13450;14298;3363
15;2;2200203000231000111300111130003111133012203000022;b5-c5;0;0;13450;13634;664
16;3;2200213000233000111300111110003112133012203000002;f7-f6;0;0;13395;13634;55
17;3;2200213000233000111300111110000311233012203000002;c5-d5x;0;1;13395;13628;6
18;3;2200213000233000111300111110000031133012203000002;d5-e5x;0;1;13395;13622;6
19;3;2200213000233000111300111110000003133012203000002;e5-f5x;0;2;13395;13525;97
20;3;2200213000233000111300111110000000333012203000002;f5-g5x;0;3;13395;13295;230
21;2;2200213000233001113000111110000000333012203000002;f3-e3;0;3;13395;11102;2193
22;2;2200021000233001113000111110000000333012203000002;e1-f1x;0;3;13202;11102;193
23;3;2200001000232001113300111110000000333012203000002;f1-f2;0;3;11874;11102;1328
24;2;2200001000202001113300111310000010333012203000002;e2-e3;0;3;11874;10012;1090
25;3;2200001000232001113300111110000020333010203000002;e6-e5;0;3;9499;10012;2375
26;2;2200001000232001113300111113000020033010203000002;g5-g4;0;3;9499;8642;1370
27;3;2200001000230001113200111133000021033010203000002;f2-f3;0;3;9142;8642;357
28;2;2200001000230001113230111130000021033010203000002;g4-g3;0;3;9142;7354;1288
29;3;2200001000232001113330111110000022033010003000002;f6-f5;0;3;8971;7354;171
30;2;2200001000232001113330111110030022030010003000002;b6-b5;0;3;8971;6903;451
31;3;2200301000232001111330111210030002030010003000002;e5-e4;0;3;8833;6903;138
32;2;2203001000232001111330111210030002030010003000002;e1-d1;0;3;8833;6696;207
33;3;2203301000212001112330111010030002030010003000002;e4-e3;0;3;8678;6696;155
34;2;2233001000212001112330111010030002030010003000002;e1-d1;0;3;8678;6389;307
35;3;2233101000222001110330111010030002030010003000002;e3-e2;0;3;8581;6389;97
36;2;2203101003222001110330111010030002030010003000002;c1-c2;0;3;8581;5541;848
37;2;2203201003202001110330111010030002030010003000002;e2-e1x;1;3;8324;5541;257
38;3;0223201003202001110330111010030002030010003000002;a1-b1;1;3;8038;5541;286
39;2;0220201003302001120330111010030102030010003000002;d1-d2;1;3;8038;4562;979
40;3;0022201003302001120330111010030102030010003000002;b1-c1;1;3;7463;4562;575
41;2;0022201013302001120330311010000102030010003000002;b5-b4;1;3;7463;3649;913
42;3;0020201013202001130330312010000102030010003001002;d1-d2;1;3;7076;3649;387
43;2;0120201013202003130330012010000102030010003001002;b4-b3;1;3;7076;3456;193
44;2;0120201013002003120330013010000202030010003001002;d2-d3x;2;3;7010;3456;66
45;2;0120201013002003100330012010000302030020003001002;d3-d4x;3;3;6998;3456;12
46;2;0120201013002003100330010010000202030030003002002;d4-d5x;4;3;6917;3456;81
47;3;0120221013003003100130010020000200030030003002002;f5-f4;4;3;5533;3456;1384
48;3;0120221033003000100130010020000200030030003002002;b3-b2x;4;4;5533;3428;28
49;2;0120221033003300100100010020000200030030003002002;g3-g2;4;4;5533;3300;128
50;2;0120022033003300100100010020000200030030003002002;e1-f1x;5;4;5389;3300;144
51;3;0120022033003300100100010020000200030030003020002;d7-c7;5;4;4311;3300;1078
52;3;0320022003003300100100010020000200030030003020002;b2-b1x;5;5;4311;3266;34
53;2;0320022003003300100100010020000200030300003020002;d6-c6;5;5;4311;3096;170
54;3;0320022003003300100100010020003200030200003000002;c7-c6;5;5;3666;3096;645
55;3;0320023003003000100100010020003200030200003000002;g2-g1x;5;5;3666;3034;62
56;2;0320020003003300100100010020003200030200003000002;g1-g2;5;5;3666;2776;258
57;3;0320020003003300100100010020003200030200023000000;g7-g6;5;5;2932;2776;734
58;2;0320020000303300100100010020003200030200023000000;c2-d2;5;5;2932;2220;556
59;3;0320020000303300100100010020003200230200003000000;g6-g5;5;5;2345;2220;587
60;2;0032020000303300100100010020003200230200003000000;b1-c1;5;5;2345;2068;152
61;3;0032020001303300100100030020002200230000003000000;c6-c5;5;5;1875;2068;470
62;3;0033020001003300100100030020002200230000003000000;d2-d1x;5;5;1875;2011;57
63;2;0033020001003300100100300020002200230000003000000;c4-b4;5;5;1875;1608;403
64;3;0033020001003300100100300020002202030000003000000;g5-f5;5;5;1499;1608;376
65;2;0033020001003300100103000020002202030000003000000;b4-a4;5;5;1499;1286;322
66;3;0033020001003300100103000020002200230000003000000;f5-g5;5;5;1199;1286;300
67;2;0033020001003300100103000020002200203000003000000;a6-b6;5;5;1199;1028;258
68;3;0033020001003300100103000022002200003000003000000;g5-g4;5;5;959;1028;240
69;2;0033020001003300100103000022002200000000003300000;b6-b7;5;5;959;822;206
70;3;0033020001003300100103000022002000000020003300000;d5-d6;5;5;767;822;192
71;2;0033020001003300100103000022002000000020000330000;a7-b7;5;5;767;657;165
72;3;0033020001003300100103000022002200000000000330000;d6-d5;5;5;613;657;154
73;2;0033020001003300100103000022002200003000000030000;b7-b6;5;5;613;525;132
74;3;0033020001003300100103002022002000003000000030000;d5-d4;5;5;490;525;123
75;2;0033020001003300100103002022002000003000000300000;c7-b7;5;5;490;419;106
76;3;0033020001003300100123002020002000003000000300000;g4-g3;5;5;391;419;99
77;2;0033020001003300100123002020002000003000003000000;b7-a7;5;5;391;335;84
78;3;0033020001003300100123002020020000003000003000000;c5-b5;5;5;312;335;79
79;2;0033020001003300100120302020020000003000003000000;a4-b4;5;5;312;308;27
80;3;0033020001003300101200302020020000003000003000000;g3-f3;5;5;249;308;63
81;2;0033020001033000101200302020020000003000003000000;g2-f2;5;5;249;246;62
82;3;0033020001033000101200302200020000003000003000000;f4-e4;5;5;199;246;50
83;2;0033020001003000103200302100020020003000003000000;e2-e3;5;5;199;203;43
84;3;0033020001003000103200302100002020003000003000000;b5-c5;5;5;159;203;40
85;2;0033020001003000100320302100002020003000003000000;e3-f3;5;5;159;162;41
86;3;0033020001003000101320302200002000003000003000000;e5-e4;5;5;127;162;32
87;3;0033030001003000101020302200002000003000003000000;f3-f2x;5;5;127;129;33
88;2;0033030001003000101020302200032000000000003000000;b6-b5;5;5;127;103;26
89;3;0033030001013000102020302000032000000000003000000;e4-e3;5;5;101;103;26
