MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2000033220103302111000111110001110033010223300022;b1-b2;0;0;19496;20000;504
3;2;2000033220103302111000111110001110003310223300022;a6-b6;0;0;19496;18765;1235
4;3;2000033200103302111000211110011110003310223300022;b2-b3;0;0;18413;18765;1083
5;2;2000033220103302111000111110031110003310223000022;b7-b6;0;0;18413;18621;144
6;3;2000033220103302111000111110031112003310223000002;f7-f6;0;0;17543;18621;870
7;2;2200033220103301111000311110031112000310223000002;b6-b5;0;0;17543;14896;3725
8;3;2200033220103301111000311110311120000310223000002;f5-e5;0;0;14962;14896;2581
9;2;2200033220103301111003311110011120000310223000002;a5-a4;0;0;14962;14121;775
10;3;2200033220103301111003311110111200000310223000002;e5-d5;0;0;13886;14121;1076
11;2;2200033220103301111003311110111200000031223000002;c6-d6;0;0;13886;13758;363
12;3;2200033220103301111003311110111200000312203000002;g6-f6;0;0;13718;13758;168
13;2;2200033220133001111003311110111200000312203000002;g2-f2;0;0;13718;13060;698
14;3;2000033220133002111003111110131200001312203000002;b1-b2;0;0;13322;13060;396
15;2;2000033221330002111003111110131200001312203000002;f2-e2;0;0;13322;12927;133
16;2;2000033221330002111003111110312000001312203000002;d5-c5x;1;0;13036;12927;286
17;2;2000033221330002111003111110120000001312203000002;c5-b5x;1;0;12801;12927;235
18;2;2000033221330002111003111110200000001312203000002;b5-a5x;2;0;12433;12927;368
19;3;2000033022133002111003111110200000001312203000002;a2-b2;2;0;11081;12927;1352
20;2;2000033022133002111000311111200000001312203000002;a4-b4;2;0;11081;10341;2586
21;3;2000033022133002111002311111000000001312203000002;a5-a4;2;0;9710;10341;1371
22;2;2200033022133003111002011111000000001312203000002;b4-b3;2;0;9710;10033;308
23;3;2200033022133003111000211111000000001312203000002;a4-b4;2;0;8440;10033;1270
24;2;2200033022103003113000211111000010001312203000002;e2-e3;2;0;8440;9341;692
25;2;2200033022103003113000021111000010001312203000002;b4-c4x;3;0;8302;9341;138
26;2;2200033022103003113000002111000010001312203000002;c4-d4x;4;0;8269;9341;33
27;2;2200033022103003113000000211000010001312203000002;d4-e4x;5;0;8243;9341;26
28;2;2200033022103003113000000021000010001312203000002;e4-f4x;6;0;8228;9341;15
29;2;2200033022103003113000000002000010001312203000002;f4-g4x;7;0;8220;9341;8
