MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033022103300111000111110001110033010223300022;a2-b2;0;0;19661;20000;339
3;2;2200003022103300111300111110001110033010223300022;f1-f2;0;0;19661;18516;1484
4;3;2200003002213300111300111110001110033010223300022;b2-c2;0;0;18561;18516;1100
5;2;2200003022133000111300111110001110033010223300022;g2-f2;0;0;18561;17688;828
6;3;2200003020133000211300111110001110033110223300022;c2-c3;0;0;17538;17688;1023
7;2;2200003020133002113000111110001110033110223300022;f3-e3;0;0;17538;17010;678
8;3;2000003020133002113000211110011110033110223300022;b1-b2;0;0;16595;17010;943
9;2;2200003020133002113000111110031110033110223000022;b7-b6;0;0;16595;16710;300
10;3;2200003020133000211300111110031110033110223000022;b3-c3;0;0;15242;16710;1353
11;2;2200003020133001211300311110031110030110223000022;b6-b5;0;0;15242;15516;1194
12;3;2000003020133002211300111110031110033110223000022;b1-b2;0;0;13003;15516;2239
13;2;2000003020133022113000111110031110033110223000022;f3-e3;0;0;13003;14346;1170
14;3;2000003020133002113002111110031110033110223000022;a3-a4;0;0;11279;14346;1724
15;2;2200003020133001113002311110031110030110223000022;b6-b5;0;0;11279;13110;1236
16;3;2200003200133001113002311110031110030110223000022;b2-a2;0;0;9023;13110;2256
17;2;2200003201330001113002311110031110030110223000022;f2-e2;0;0;9023;11540;1570
18;3;2200003201330001113000311110231110030110223000022;a4-a5;0;0;8595;11540;428
19;2;2200003201330001113002311110331110030110220000022;a7-a6;0;0;8595;10643;897
20;3;0220003201330001113002311110331110030110220000022;a1-b1;0;0;7974;10643;621
21;2;0220003201330011130002311110331110030110220000022;e3-d3;0;0;7974;8514;2129
22;3;0022003201330011130002311110331110030110220000022;b1-c1;0;0;6939;8514;1035
23;3;0022003201330011300002311110331110030110220000022;d3-c3x;0;1;6939;7173;1341
24;3;0023003201030011300002311110331110030110220000022;d2-d1x;0;1;6939;6243;930
25;3;0023003201030013000002311110331110030110220000022;c3-b3x;0;2;6939;5622;621
26;3;0023003201030030000002311110331110030110220000022;b3-a3x;0;3;6939;5241;381
27;2;0023003201030030000002311110331110003110220000022;a6-b6;0;3;6939;4192;1049
28;3;0003003202030030100002311110331110003110220000022;c1-c2;0;3;6671;4192;268
29;2;0030003202030030100002311110331110003110220000022;d1-c1;0;3;6671;4114;78
30;3;0030003220030030100002311110331110003110220000022;c2-b2;0;3;6403;4114;268
31;2;0030003220000030103002311110331110003110220000022;e2-e3;0;3;6403;4031;83
32;3;0030003020000020103003311110231110033110220000022;a2-a3;0;3;6198;4031;205
33;2;0030003020000020130003311110231110033110220000022;e3-d3;0;3;6198;3986;45
34;3;0030003020000000130002311110331110023110223000022;a3-a4;0;3;6103;3986;95
35;2;0030003020000000130002311110331110023110220300022;a7-b7;0;3;6103;3980;6
36;3;0030003020000000130000231111331110023110220300022;a4-b4;0;3;6019;3980;84
37;2;0030003020000000130000231111033111023110220300022;a5-b5;0;3;6019;3965;15
38;2;0030003020000000130000023111033111023110220300022;b4-c4x;1;3;6007;3965;12
39;2;0030003020000000130000002311033111023110220300022;c4-d4x;2;3;5986;3965;21
40;2;0030003020000000130000000231033111023110220300022;d4-e4x;3;3;5971;3965;15
41;2;0030003020000000130000000023033111023110220300022;e4-f4x;4;3;5950;3965;21
42;3;0030003020000000130000000023233111003110220300022;a6-a5;4;3;5832;3965;118
43;2;0030003020000000100000003023233111003110220300022;d3-d4;4;3;5832;3941;24
44;3;0030003020000000100000003023233111003112200300022;g6-f6;4;3;5635;3941;197
45;2;0030003020000000100000000023233311003112200301022;d4-d5;4;3;5635;3919;22
46;3;0030003020000000100000000023233311031122000301022;f6-e6;4;3;5602;3919;33
47;3;0030003020000000100000000023233011031132000302022;d5-d6x;4;4;5602;3918;1
48;3;0030003020000000100000000023330011031132000302022;c5-b5x;4;4;5602;3914;4
49;3;0030003020000000100000000023330011031102000303022;d6-d7x;4;4;5602;3906;8
50;2;0030003020000000100030000020330011031102000303022;g4-g3;4;4;5602;3843;63
51;3;0030003020000000100030000020330011031120000303022;e6-d6;4;4;4481;3843;1121
52;2;0030003020000000100030000020330211031130000300022;d7-d6;4;4;4481;3827;16
53;3;0030003020000000100030000020330211031130200300002;f7-f6;4;4;4264;3827;217
54;2;0030003020000000100030002020330311031100200300002;d6-d5;4;4;4264;3778;49
55;3;0030003020000000100230002010330312031100000300002;f6-f5;4;4;3411;3778;853
56;2;0030003020000000102300002010330312031100000300002;g3-f3;4;4;3411;3732;46
57;3;0030003020003000102100002020330310031100000300002;f5-f4;4;4;2978;3732;433
58;2;0030000020003300102100002020330310031100000300002;g1-g2;4;4;2978;3280;452
59;3;0030000020003300102100002020330310031100020300000;g7-g6;4;4;2382;3280;596
60;2;0030000020003300102100002020330310031100020030000;b7-c7;4;4;2382;2623;657
61;3;0030000020003300102100002020330310031100000030002;g6-g7;4;4;1905;2623;477
