MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;0220033220103300111000111110001110033010223300022;a1-b1;0;0;19618;20000;382
3;2;0220033220103300111000111110001110003310223300022;a6-b6;0;0;19618;16774;3226
4;3;0220033220103300111000111110001112003310223300002;f7-f6;0;0;18153;16774;1465
5;2;0220033220133000111000111110001112003310223300002;g2-f2;0;0;18153;15459;1315
6;3;2200033220133000111000111110001112003310223300002;c1-b1;0;0;16935;15459;1218
7;2;2200033220133000111000111110001112000331223300002;b6-c6;0;0;16935;13776;1683
8;3;2200033220133000111000111110001112003312203300002;g6-f6;0;0;16463;13776;472
9;2;2200033220103000113000111110001112003311203300202;e2-e3;0;0;16463;13001;775
10;3;2200033220103000113000111110001112003311203302002;e7-d7;0;0;16220;13001;243
11;2;2200033220103000113000111110001112000331123302002;b6-c6;0;0;16220;12390;611
12;3;2200033220103000113000111110001112200331123302000;g7-g6;0;0;16096;12390;124
13;2;2200033221103000113000111110003112200031123302000;c6-c5;0;0;16096;11957;433
14;3;2201033221103000113000111110003312200021123300000;d7-d6;0;0;16090;11957;6
15;3;2201033221103000113000111110000331200021123300000;c5-d5x;0;0;16090;11931;26
16;3;2201033221103000113000111110000033100021123300000;d5-e5x;0;0;16090;11865;66
17;2;2201033221130000113000111110000033100021123300000;f2-e2;0;0;16090;11588;277
18;3;2201033221130000113000111110000233100001123300000;d6-d5;0;0;15995;11588;95
19;3;2201033211300000113000111110000233100001123300000;e2-d2x;0;0;15995;11588;0
20;3;2201033113000000113000111110000233100001123300000;d2-c2x;0;0;15995;11586;2
21;3;2201033130000000113000111110000233100001123300000;c2-b2x;0;1;15995;11581;5
22;3;2201033300000000113000111110000233100001123300000;b2-a2x;0;2;15995;11579;2
23;3;3201033000000000113000111110000233100001123300000;a2-a1x;0;2;15995;11575;4
24;2;0321033000000000113000111110000233100001123300000;a1-b1;0;2;15995;11559;16
25;2;0321033000000000113000111110000023300001123300000;d5-e5x;1;2;15971;11559;24
26;2;0321033000000000113000111110000002300001123300000;e5-f5x;1;2;15912;11559;59
27;2;0321033000000000113000111110000000200001123300000;f5-g5x;1;2;15771;11559;141
28;3;0321033000000000113000111112000000200001103300000;g6-g5;1;2;15476;11559;295
29;2;0321033000000000110000111312000010200001103300000;e3-e4;1;2;15476;11445;114
30;3;0321033000000000110001113120000010200001103300000;g4-f4;1;2;15099;11445;377
31;2;0321033000100000130001110120000010200001103300000;d4-d3;1;2;15099;11277;168
32;3;0321033000100000130001111200000010200001103300000;f4-e4;1;2;13861;11277;1238
33;2;0321033000100001300001111200000010200001103300000;d3-c3;1;2;13861;10889;388
34;2;0321033000100001300001112000000010200001103300000;e4-d4x;2;2;13651;10889;210
35;2;0321033000100001300001120000000010200001103300000;d4-c4x;3;2;13482;10889;169
36;3;0301033002100001300001120000000010200001103300000;c1-c2;3;2;12068;10889;1414
37;2;0301033002100001300001120000000010230001100300000;a7-a6;3;2;12068;8711;2178
38;3;0301033000210001300001120000000010230001100300000;c2-d2;3;2;10295;8711;1773
39;2;0301033000210001000001130000002010230001100300000;c3-c4;3;2;10295;8454;257
40;2;0302033000010001000001130000002010230001100300000;d2-d1x;4;2;9649;8454;646
41;3;0302033000010001000001130000002010030001120300000;g5-g6;4;2;7719;8454;1930
42;3;0302033000010001000001300000002010030001120300000;c4-b4x;4;3;7719;6763;1691
43;3;0302033000010001000003000000002010030001120300000;b4-a4x;4;4;7719;5410;1353
44;2;0302330000010001000003000000002010030001120300000;g1-f1;4;4;7719;4327;1083
45;3;0302330000010001000003000000002010230001100300000;g6-g5;4;4;6175;4327;1544
46;2;0302030000030001001003000000002010230001100300000;e1-e2;4;4;6175;3991;336
47;3;0302030000030001001003000002002010030001100300000;g5-g4;4;4;4939;3991;1236
48;2;0302030000030031001000000002002010030001100300000;a4-a3;4;4;4939;3192;799
49;3;0302030000030031001000020002000010030001100300000;c5-c4;4;4;3951;3192;988
50;2;0302030000000031003000020102000010030001100300000;e2-e3;4;4;3951;3114;78
51;3;0302030000000031003000002102000010030001100300000;c4-d4;4;4;3696;3114;255
52;2;0302030000000031003000002102000010033001100000000;b7-b6;4;4;3696;3037;77
53;3;0302030000000031003000002120000010033001100000000;g4-f4;4;4;3436;3037;260
54;2;0302030000000031003000002120000010003301100000000;a6-b6;4;4;3436;3019;18
55;3;0302030000000031003000002100000012003301100000000;f4-f5;4;4;3325;3019;111
56;2;0302030000000031003000002100000012000331100000000;b6-c6;4;4;3325;3012;7
57;3;0302030000000031003000002100000120000331100000000;f5-e5;4;4;3282;3012;43
58;2;0302030000000031030000002100000120000331100000000;e3-d3;4;4;3282;3004;8
59;3;0300030000200031030000002100000120000331100000000;d1-d2;4;4;3103;3004;179
60;2;0302030000300031020000001100000320000301100000000;d6-d5;4;4;3103;2934;70
61;3;0302030000300031020000001100003200000301100000000;e5-d5;4;4;2522;2934;581
62;2;0302030000300003120000001100003200000301100000000;a3-b3;4;4;2522;2737;197
63;3;0302030000300003120000001100032000000301100000000;d5-c5;4;4;2017;2737;505
64;2;0302030000300003120000021100033000000001100000000;c6-c5;4;4;2017;2189;548
65;3;0300030000200003130000022100033100000001100000000;d1-d2;4;4;1613;2189;404
66;2;0300030000200000313000022100033100000001100000000;b3-c3;4;4;1613;1751;438
67;3;0300030000200000313000002210033100000001100000000;c4-d4;4;4;1588;1751;25
68;2;0300300000200000313000002210033100000001100000000;f1-e1;4;4;1588;1645;106
69;3;0300300000230000312000002010033100000001100000000;e4-e3;4;4;1570;1645;18
70;2;0300000000230000313000002210033100000001100000000;e1-e2;4;4;1570;1603;42
71;3;0300000000030000323000001210033200000011100000000;d2-d3;4;4;1553;1603;17
72;2;0300000000030000323000001210003320000011100000000;b5-c5;4;4;1553;1585;18
