MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033220103300111000111110001112033010223300002;f7-f6;0;0;19684;20000;316
3;2;2200033220133000111000111110001112033010223300002;g2-f2;0;0;19684;18644;1356
4;3;2000033220133002111000111110001112033010223300002;b1-b2;0;0;18910;18644;774
5;2;2000033220133002111000111110001112003310223300002;a6-b6;0;0;18910;17761;883
6;3;2000033220133002111100111120001112003310023300002;f6-f5;0;0;16191;17761;2719
7;2;2000003220133002111300111110001112003310223300002;f1-f2;0;0;16191;17275;486
8;3;2000003220133002111300111110001112003312203300002;g6-f6;0;0;15819;17275;372
9;2;2000003221133002111300111110003112003012203300002;c6-c5;0;0;15819;15923;1352
10;3;2000003022113302111300111110003112003012203300002;a2-b2;0;0;14679;15923;1140
11;2;2000003022110302111300111130003111003012203300022;f2-f3;0;0;14679;14828;1095
12;3;2000003022110302111300111130003111003122003300022;f6-e6;0;0;14186;14828;493
13;2;2000003022110302111300111130003111000312203300022;b6-c6;0;0;14186;13818;1010
14;3;2000003022113302111300111110003112000312203300002;f7-f6;0;0;13532;13818;654
15;2;2000003221133002111300111110003112000312203300002;g2-f2;0;0;13532;12241;1577
16;3;2000003201133002111300211110013112000312203300002;b2-b3;0;0;12133;12241;1399
17;2;2000003201133021113000211110013112000312203300002;f3-e3;0;0;12133;11410;831
18;3;2000003201133021113100211120013112000312003300002;f6-f5;0;0;11682;11410;451
19;2;2000003211330021113100211120013112000312003300002;f2-e2;0;0;11682;10622;788
20;3;2000003021133021113100211120013112000312003300002;a2-b2;0;0;11291;10622;391
21;2;2000003021130021113300211110013112000312203300002;f2-f3;0;0;11291;9978;644
22;3;2000003021130002111330211110013112000312203300002;a3-b3;0;0;10298;9978;993
23;2;2000003021130002111030211130013111000312203300022;f3-f4;0;0;10298;9151;827
24;3;2000003021130002111030211130013111003122003300022;f6-e6;0;0;9958;9151;340
25;2;2000003211300002111030211130013111003122003300022;e2-d2;0;0;9958;8467;684
26;3;2003003211100002111030211130013211003102003300022;d6-d5;0;0;8930;8467;1028
27;2;2030003211100002111030211130013211003102003300022;d1-c1;0;0;8930;8178;289
28;3;2030003211100000211130211130013211003102003300022;b3-c3;0;0;8270;8178;660
29;2;2030003211100002111300211130013211003102003300022;g3-f3;0;0;8270;8027;151
30;3;2030003211100002111300021113013211003102003300022;b4-c4;0;0;7199;8027;1071
31;2;2030003211100002111300121113033211003102003000022;b7-b6;0;0;7199;7758;269
32;3;2030003211100000211130121113033211003102003000022;b3-c3;0;0;5978;7758;1221
33;2;2030003211100001211130321113033211000102003000022;b6-b5;0;0;5978;7404;354
34;3;2030003211110001211130321113033221000100003000022;e6-e5;0;0;4782;7404;1196
35;2;2030003211110012111300321113033221000100003000022;g3-f3;0;0;4782;5923;1481
36;3;2030003021111012111300321113033221000100003000022;a2-b2;0;0;4271;5923;511
37;3;2030003021111021113000321113033221000100003000022;f3-e3x;0;1;4271;5587;336
38;3;2030003021111011130000321113033221000100003000022;e3-d3x;0;1;4271;5138;449
39;3;2030003021111011300000321113033221000100003000022;d3-c3x;0;2;4271;4729;409
40;3;2030003021111013000000321113033221000100003000022;c3-b3x;0;3;4271;4345;384
41;3;2030003021111030000000321113033221000100003000022;b3-a3x;0;4;4271;3838;507
42;2;2030003321111000000000321113033221000100003000022;a3-a2;0;4;4271;3434;404
43;3;0030003221111030000000321113033221000100003000022;a1-a2;0;4;3590;3434;681
44;2;0030003221111030000000321113003322100100003000022;b5-c5;0;4;3590;2893;541
45;3;0030003221111030000000301113002322100300003010022;c4-c5;0;4;3289;2893;301
46;2;0030003221111030000000031113002322100300003010022;b4-c4;0;4;3289;2654;239
47;2;0030003221111030000000031113000232200300003010022;c5-d5x;1;4;3215;2654;74
48;3;0030003221111030000000031113000232200300203010002;f7-f6;1;4;2571;2654;644
49;3;0030003221111030000000031113000232200000203030002;c6-c7x;1;5;2571;2354;300
50;2;0030003221111030000000031113000232230000200030002;a7-a6;1;5;2571;1883;471
51;3;0030003022111130000000031113000232230000200030002;a2-b2;1;5;2353;1883;218
52;2;0030003022111130300000001113000232230000200030002;c4-c3;1;5;2353;1560;323
53;2;0030003002211130300000001113000232230000200030002;b2-c2x;2;5;2332;1560;21
54;2;0030003000221130300000001113000232230000200030002;c2-d2x;3;5;2322;1560;10
55;3;0030003000221130300030001112000232030000200030002;g5-g4;3;5;2287;1560;35
56;2;0000003003221130300030001112000232030000200030002;c1-c2;3;5;2287;1339;221
57;2;0000001003221330300020001110000232030000200030002;g4-g3x;3;5;2253;1339;34
58;2;0000003003221230300000001110000232030000200030002;g3-g2x;4;5;2244;1339;9
59;3;0000003003021230320000001110000232030000200030002;d2-d3;4;5;2160;1339;84
60;2;0000003003021203320000001110000232030000200030002;a3-b3;4;5;2160;1071;268
61;2;0000002003021003320000001110000232030000200030002;g2-g1x;4;5;2147;1071;13
62;3;0000002003021033200000001110000232030000200030002;d3-c3;4;5;1764;1071;383
63;2;0000002033021030200000001110000232030000200030002;b3-b2;4;5;1764;856;215
64;3;0000002033021032000000001110000232030000200030002;c3-b3;4;5;1411;856;353
65;2;0000002033021032001000001310000202030000200030002;e5-e4;4;5;1411;684;172
66;2;0000002033021020001000001310000202030000200030002;b3-a3x;4;5;1223;684;188
67;3;0000002033021020001100001320000202030000000030002;f6-f5;4;5;978;684;245
68;2;0000002033021020001100001320000202000000003030002;a6-a7;4;5;978;547;137
69;3;0000012033021020001200001320000200000000003030002;f5-f4;4;5;782;547;196
70;2;0000012033021020001200001320000200030000000030002;a7-a6;4;5;782;437;110
71;2;0000012033022020001200001300000200030000000030002;f4-f3x;5;5;625;437;157
72;2;0000022033022020001000001300000200030000000030002;f3-f2x;6;5;499;437;126
73;3;0000022033022020001000001300000200030000000030020;g7-f7;6;5;399;437;100
74;2;0000022033022020001000001300000200030300000000020;c7-c6;6;5;399;349;88
75;3;0000022033022020001000001300000020030300000000020;d5-e5;6;5;319;349;80
76;2;0000022033022020001000013000000020030300000000020;e4-d4;6;5;319;279;70
77;3;0000022033022020001000013200000000030300000000020;e5-e4;6;5;255;279;64
78;2;0000022033022020001000010200000300030300000000020;d4-d5;6;5;255;223;56
79;3;0000022033022020001000010200000300030300200000000;f7-f6;6;5;203;223;52
80;2;0000022033022020001000010200003300030000200000000;c6-c5;6;5;203;178;45
81;3;0000022033022020001000010200003300030002000000000;f6-e6;6;5;162;178;41
82;2;0000022033022020001000010200003300000002003000000;a6-a7;6;5;162;142;36
83;3;0000022033022020001000010200003300000000203000000;e6-f6;6;5;129;142;33
84;2;0000022033022020001000010200003300030000200000000;a7-a6;6;5;129;113;29
85;3;0000022033022020001000010200003302030000000000000;f6-f5;6;5;103;113;26
86;2;0000022033022020001000010200003302000000003000000;a6-a7;6;5;103;90;23
87;3;0000022033022020001000010200003300000000203000000;f5-f6;6;5;82;90;21
88;2;0000022003322020001000010200003300000000203000000;b2-c2;6;5;82;72;18
89;3;0000022033220020001000010200003300000000203000000;f2-e2;6;5;65;72;17
90;2;0000022033220020001000010200000330000000203000000;c5-d5;6;5;65;57;15
91;3;0000022332200020001000010200000330000000203000000;e2-d2;6;5;52;57;13
92;2;0000022032200030001002010200000330000000203000000;a2-a3;6;5;52;51;6
93;3;0000022032200030001002010020000330000000203000000;e4-f4;6;5;41;51;11
94;2;0000022032200030001002010020000330030000200000000;a7-a6;6;5;41;40;11
95;3;0000022032200030001002010020000330030000020000000;f6-g6;6;5;32;40;9
96;2;0000022032200030001002010320000300030000020000000;e5-e4;6;5;32;31;9
97;3;0000022032200030001002010320000300030000200000000;g6-f6;6;5;25;31;7
98;2;0000022032200030001002010320000000030030200000000;d5-d6;6;5;25;24;7
99;3;0000022032200030001002010320000000030032000000000;f6-e6;6;5;19;24;6
100;2;0000022032200030001002010320000000030003200000000;d6-e6;6;5;19;19;5
101;3;0000022032200030001002010320000000030003000000020;f6-f7;6;5;15;19;4
102;2;0000022032200030001002010320300000000003000000020;a6-a5;6;5;15;15;4
103;3;0000022032200030001002010320300000000003000000200;f7-e7;6;5;11;15;4
104;2;0000022032200030001002010032300000000003000000200;e4-f4;6;5;11;13;2
105;3;0000022032200030001002010032300000000003000002000;e7-d7;6;5;8;13;3
106;2;0000022032200030001002010032300000000030000002000;e6-d6;6;5;8;10;3
107;3;0000022032200030001002010032300300000020000000000;d7-d6;6;5;6;10;2
108;2;0300022002200030001002010032300300000020000000000;b2-b1;6;5;6;7;3
109;3;0300022002200030001002010032300300000200000000000;d6-c6;6;5;4;7;2
110;3;0300022002200030001002010003300300000200000000000;f4-g4x;6;5;4;5;2
111;2;0300022002200030001002010003300000000230000000000;d5-d6;6;5;4;3;2
112;3;0300022002200030001002010003302000000030000000000;c6-c5;6;5;3;3;1
113;2;0300022002200030001002010003302300000000000000000;d6-d5;6;5;3;2;1
114;3;0300022002200030101002020003300300000000000000000;c5-c4;6;5;2;2;1
115;2;0300022002200030101002023003300000000000000000000;d5-d4;6;5;2;1;1
116;3;0320022001200030201002003003300000000000000000000;c4-c3;6;5;1;1;1
117;2;0320022001200030201002003003030000000000000000000;a5-b5;6;5;1;0;1
118;3;0320022301200020201000003003030000000000000000000;a4-a3;6;5;0;0;1
119;2;0320022301200020201000303003000000000000000000000;b5-b4;6;5;0;-1;1
