MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033220103300111000111110001112033010223300002;f7-f6;0;0;19561;20000;439
3;2;2200033220133000111000111110001112033010223300002;g2-f2;0;0;19561;18374;1626
4;3;2000033220133002111000111110001112033010223300002;b1-b2;0;0;18457;18374;1104
5;2;2000033220133002111000111110001112003310223300002;a6-b6;0;0;18457;17448;926
6;3;2000033220133002111100111120001112003310023300002;f6-f5;0;0;17544;17448;913
7;2;2000003220133002111300111110001112003310223300002;f1-f2;0;0;17544;16782;666
8;3;2000003220133002111300111110001112003312203300002;g6-f6;0;0;17138;16782;406
9;2;2000003220133021113000111110001112003312203300002;f3-e3;0;0;17138;15256;1526
10;3;2000003220133021113100111120001112003312003300002;f6-f5;0;0;16180;15256;958
11;2;2000003221330021113100111120001112003312003300002;f2-e2;0;0;16180;13991;1265
12;3;2000003022133021113100111120001112003312003300002;a2-b2;0;0;15600;13991;580
13;2;2020003021133021113100111120003112003012003300002;c6-c5;0;0;15600;13084;907
14;3;2020003021133021113100111120003112003120003300002;e6-d6;0;0;14775;13084;825
15;2;2020003211330021113100111120003112003120003300002;f2-e2;0;0;14775;12094;990
16;3;2020003211331021113200111120003110003120003300002;f5-f4;0;0;14292;12094;483
17;2;2020003211301021113200111320003110003121003300002;e2-e3;0;0;14292;11442;652
18;3;2023003211101021113200111320003210003101003300002;d6-d5;0;0;14018;11442;274
19;2;2230003211101021113200111320003210003101003300002;d1-c1;0;0;14018;11077;365
20;3;0223003211101021113200111320003210003101003300002;a1-b1;0;0;13620;11077;398
21;2;0220003211301021113200111320003110003121003300002;d1-d2;0;0;13620;10703;374
22;3;0220003021131021113200111320003110003121003300002;a2-b2;0;0;13334;10703;286
23;2;0220003021131021113200111320003110000312103300002;b6-c6;0;0;13334;10437;266
24;3;0200003022131021113200111320001110000312103330002;c1-c2;0;0;13083;10437;251
25;2;0200003022131021113200111320001110000031213330002;c6-d6;0;0;13083;10373;64
26;3;0200003022131021113200111320001112000031013330002;f6-f5;0;0;12237;10373;846
27;2;0200003022131021113200111320001112000003113330002;d6-e6;0;0;12237;9590;783
28;3;0200003022131021113200111320001112000003113330020;g7-f7;0;0;11157;9590;1080
29;2;0200003022101021113200111320001132000001113330320;e2-e3;0;0;11157;9397;193
30;3;0200003002211021113200111320001132000001113330320;b2-c2;0;0;10021;9397;1136
31;2;0200103002231021113200111320001112000003113330020;e7-e6;0;0;10021;9307;90
32;3;0200113002232021113200111320001111000003213330000;f7-f6;0;0;8016;9307;2005
33;3;0200113002232021113200111320001111000000323330000;e6-f6x;0;1;8016;9123;184
34;3;0200123002232021113200111310001113000000023330000;f6-f5x;0;2;8016;9034;89
35;3;0200123002232021113100111330001110000000023330000;f5-f4x;0;2;8016;8877;157
36;3;0200123002231021113300111300001110000000023330000;f4-f3x;0;2;8016;8624;253
37;3;0200113002233021113000111300001110000000023330000;f3-f2x;0;2;8016;7985;639
38;3;0200133002230021113000111300001110000000023330000;f2-f1x;0;3;8016;7261;724
39;3;0200133002230011130000111300001110000000023330000;e3-d3x;0;3;8016;7023;238
40;3;0200333002200011130000111300001110000000023330000;e2-e1x;0;4;8016;6827;196
41;3;0200333002200011300000111300001110000000023330000;d3-c3x;0;5;8016;6759;68
42;3;0200333002200013000000111300001110000000023330000;c3-b3x;0;6;8016;6716;43
43;3;0200333002200030000000111300001110000000023330000;b3-a3x;0;7;8016;6681;35
