MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;0220033220103300111000111110001110033010223300022;a1-b1;0;0;19587;20000;413
3;2;0220033220103300111000111110001110003310223300022;a6-b6;0;0;19587;16459;3541
4;3;0220033220103300111000111110001112003310223300002;f7-f6;0;0;17979;16459;1608
5;2;0220033220133000111000111110001112003310223300002;g2-f2;0;0;17979;14902;1557
6;3;2200033220133000111000111110001112003310223300002;c1-b1;0;0;16346;14902;1633
7;2;2200033220133000111000111110001112000331223300002;b6-c6;0;0;16346;12983;1919
8;3;2200033220133000111000111110001112003312203300002;g6-f6;0;0;15804;12983;542
9;2;2200033220103000113000111110001112003311203300202;e2-e3;0;0;15804;11994;989
10;3;2200033220103000113000111110001112003311203302002;e7-d7;0;0;15529;11994;275
11;2;2200033220103000113000111110001112000331123302002;b6-c6;0;0;15529;11208;786
12;3;2200033220103000113000111110001112000331123320002;d7-c7;0;0;15319;11208;210
13;3;2200033220103000113000111110001112000033113320002;c6-d6x;0;0;15319;10990;218
14;3;2200033220103000113000111110001112000003313320002;d6-e6x;0;1;15319;10890;100
15;3;2200033220103000113000111110001112000000333320002;e6-f6x;0;2;15319;10843;47
16;3;2200033220103000113000111110001112000000303320003;g6-g7x;0;2;15319;10724;119
17;2;2200033220103000113000111110001112003000303020003;b7-b6;0;2;15319;9944;780
18;3;2200033220103000113000111110001112003200303000003;c7-c6;0;2;12255;9944;3064
19;2;2200033220103000113000111110001112000320303000003;b6-c6;0;2;12255;8950;994
20;3;0220033220103000113000111110001112000320303000003;a1-b1;0;2;9970;8950;2285
21;2;0220033221103000113000111110003112000020303000003;c6-c5;0;2;9970;7159;1791
22;3;0200033222103000113000111110001112000320303000003;c1-c2;0;2;8168;7159;1802
23;2;0200033222103000113000111110001112000032303000003;c6-d6;0;2;8168;6845;314
24;3;0200033220103000213000111110001112000132303000003;c2-c3;0;2;7489;6845;679
25;2;0201033220103000213000111110001312000102303000003;d6-d5;0;2;7489;6717;128
26;3;0201033220103000213000111110013120000102303000003;f5-e5;0;2;7402;6717;87
27;2;0201033220103000213000111110013120000102303000030;g7-f7;0;2;7402;6661;56
28;3;0201033220103000213000111110131200000102303000030;e5-d5;0;2;7122;6661;280
29;2;0201033220103001213000311110101200000102303000030;b5-b4;0;2;7122;6512;149
30;3;0001033220103002213000111110131200000102303000030;b1-b2;0;2;6581;6512;541
31;2;0001033220103022130000111110131200000102303000030;e3-d3;0;2;6581;6218;294
32;2;0001033220303022110000112110131000000102303000030;d5-d4x;1;2;6361;6218;220
33;3;0001033022303022110000112110131000000102303000030;a2-b2;1;2;5088;6218;1273
34;2;0001033223003022110000112110131000000102303000030;d2-c2;1;2;5088;5677;541
35;3;0001033223103022120000110110131000000102303000030;d4-d3;1;2;4984;5677;104
36;2;0001033223103022120000110110131000000102300300030;a7-b7;1;2;4984;5635;42
37;3;0001033203103022120000210110111000003102300300030;b2-b3;1;2;4874;5635;110
38;2;0001033223103022120000110110131000003102300000030;b7-b6;1;2;4874;5625;10
39;3;0001033022313022120000110110131000003102300000030;a2-b2;1;2;4822;5625;52
40;2;0001033223130022120000110110131000003102300000030;f2-e2;1;2;4822;5563;62
41;3;0001033203130022120000210110111000003102300300030;b2-b3;1;2;4794;5563;28
42;2;0001033203130022120000210110111000000312300300030;b6-c6;1;2;4794;5536;27
43;3;0001033203130020120000210110121000001312300300030;b3-b4;1;2;4737;5536;57
44;2;0001033203130022120000210110111000003312300000030;b7-b6;1;2;4737;5508;28
45;3;0001033203130022120000210110111020003310300000030;e6-e5;1;2;4689;5508;48
46;2;0001033203100022123000210110111020003310300000030;e2-e3;1;2;4689;5476;32
47;3;0001033203100020123000210110121020001310300300030;b3-b4;1;2;4655;5476;34
48;2;0001033203100020123000210110121020001310303000030;b7-a7;1;2;4655;5428;48
49;3;0001033203100020123000010110121020002310303100030;b4-b5;1;2;4594;5428;61
50;2;0001033203100020123000010110121020032310300100030;a7-a6;1;2;4594;5333;95
51;3;0001033203130020121000010210121000032310300100030;e5-e4;1;2;4473;5333;121
52;2;0001033203130020121001010210321000002310300100030;a6-a5;1;2;4473;4874;459
53;3;0001033003130020121002010210121000032310300100030;a2-a3;1;2;4258;4874;215
54;2;0001033003100020123002010110121020032310300100030;e2-e3;1;2;4258;4421;453
55;2;0001033003200020103002010110121020032310300100030;d3-d2x;2;2;4021;4421;237
56;2;0002033003000020103002010110121020032310300100030;d2-d1x;3;2;3216;4421;805
57;3;0002033003000000103002010110221020012310303100030;a3-a4;3;2;2588;4421;628
58;2;0002033003000000103002010110221023012310303100000;f7-f6;3;2;2588;3536;885
59;3;0000233003000000103002010110221023012310303100000;d1-e1;3;2;2394;3536;194
60;2;0000233003000020103002010110121023032310300100000;a7-a6;3;2;2394;2828;708
61;2;0000233003000020103002010110101023032310300200000;b5-b6x;4;2;1915;2828;479
62;2;0000023003000020103002010110101023032310300200000;e1-f1x;4;2;1871;2828;44
63;2;0000002003000020103002010110101023032310300200000;f1-g1x;4;2;1818;2828;53
64;3;0000002003000000103002010110201023012310303200000;a3-a4;4;2;1742;2828;76
65;2;0000002003000000103002010110201230012310303200000;f5-e5;4;2;1742;2262;566
66;2;0000002003000000103002010110201230012310302000000;b7-a7x;4;2;1722;2262;20
67;3;0000002003000000103002010110201030012320302001000;d5-d6;4;2;1671;2262;51
68;2;0000002003000000103002010110201033012320002001000;f6-f5;4;2;1671;1809;453
69;2;0000002003000000103002010110201033023200002001000;d6-c6x;5;2;1646;1809;25
70;3;0000002003000000103002010110201033002320002001000;a6-b6;5;2;1556;1809;90
71;2;0000002003000000103002010110201330002320002001000;f5-e5;5;2;1556;1690;119
72;3;0000002003000000103002010110201330000320002201000;b6-b7;5;2;1513;1690;43
73;2;0000002003000000100002010310201310000323002201000;e3-e4;5;2;1513;1618;72
74;3;0000002003000000100002010310021310000323002201000;a5-b5;5;2;1481;1618;32
75;3;0000002003000000100002010310021010000333002202000;d5-d6x;5;3;1481;1586;32
76;3;0000002003000000100002010310021010000303002203000;d6-d7x;5;3;1481;1524;62
77;2;0000002003000000100002010310021010000333002200000;d7-d6;5;3;1481;1424;100
78;3;0000002003000000100002010310021010020333000200000;a7-a6;5;3;1335;1424;146
79;2;0000002003000000100002010031021010020333000200000;e4-f4;5;3;1335;1321;103
80;3;0000002003000000100000210031021010020333000200000;a4-b4;5;3;1197;1321;138
81;3;0000002003000000100000210003021010020333000200000;f4-g4x;5;4;1197;1256;65
82;2;0000002003000000100000210003021010023330000200000;e6-d6;5;4;1197;1004;252
83;3;0000002003000000100000210003021010002333000200000;a6-b6;5;4;1157;1004;40
84;2;0000002000000000300000210003021010002133000230000;c2-c3;5;4;1157;928;76
85;3;0000002000000000300000210003021010000213300230000;b6-c6;5;4;1112;928;45
86;2;0000002000000000300000210003021013000213000230000;f6-f5;5;4;1112;849;79
87;3;0000002000000000300000210003021013000021300230000;c6-d6;5;4;1024;849;88
88;2;0000002000000000300000210003021130000021300230000;f5-e5;5;4;1024;772;77
89;3;0000002000000000300000210003021130000002130230000;d6-e6;5;4;961;772;63
90;2;0000002000000000300000210003021130000002100230003;g6-g7;5;4;961;732;40
91;3;0000002000000000300000210003002113000002100230003;b5-c5;5;4;823;732;138
92;2;0000002000000000000000230003001113000202100230003;c3-c4;5;4;823;605;127
93;3;0000002000000000000000230003001113002202100030003;b7-b6;5;4;769;605;54
94;2;0000002000000000000000230000001113302202100030003;g4-g5;5;4;769;483;122
95;3;0000002000000000000000023000001113302202100030003;b4-c4;5;4;635;483;134
96;2;0000002000000000000000023000001113302202100003003;c7-d7;5;4;635;433;50
97;3;0000002000000000000000003000002113302102100023003;c4-c5;5;4;516;433;119
98;2;0000002000000000000000003000021133002102100023003;g5-f5;5;4;516;380;53
99;3;0000002000000000000000003000021133002100210023003;e6-f6;5;4;442;380;74
100;2;0000002000000000000000003000021130002100310023023;f5-f6;5;4;442;373;7
101;2;0000002000000000000000003000021130002100310023002;f7-g7x;5;4;436;373;6
102;3;0000002000000000000000003000021130102100320023000;g7-g6;5;4;428;373;8
103;2;0000002000000000000000003000211300102100320023000;e5-d5;5;4;428;365;8
104;3;0000002000000000000000003000011300122100320023000;a5-a6;5;4;402;365;26
105;3;0000002000000000000000003000011300122100030023000;f6-g6x;5;4;402;360;5
106;2;0000002000000000000000003000113000122100030023000;d5-c5;5;4;402;355;5
107;3;0000002000000000000000003000113000122100030002300;c7-d7;5;4;395;355;7
108;3;0000002000000000000000003000130000122100030002300;c5-b5x;5;5;395;350;5
109;2;0000002000000000000000003000100000123100030202300;b5-b6;5;5;395;342;8
110;3;0000002000000000000000003000100000102310030202300;a6-b6;5;5;389;342;6
111;2;0000002000000000000000003000100000102310030223000;e7-d7;5;5;389;339;3
112;3;0000002000000000000000003000100000100231030223000;b6-c6;5;5;385;339;4
113;2;0000002000000000000000003000100300100231030220000;d7-d6;5;5;385;336;3
114;3;0000002000000000000000003000102300100231030200000;c7-c6;5;5;379;336;6
115;2;0000002000000000000000003000123000100231030200000;d5-c5;5;5;379;321;15
116;3;0000002000000000000000033000122000100031030200000;c6-c5;5;5;374;321;5
117;2;0000002000000000000000033000122300100001030200000;d6-d5;5;5;374;318;3
118;3;0000002000000000300000023000120300100001030200000;c5-c4;5;5;367;318;7
119;2;0000002000000000300000023000123000100001030200000;d5-c5;5;5;367;312;6
120;3;0000002000000000300000223000103000100001030200000;b5-b4;5;5;361;312;6
121;2;0000002000000000300000223000103000100001300200000;g6-f6;5;5;361;290;22
122;3;0000002000000000300000022300103000100001300200000;b4-c4;5;5;358;290;3
123;2;0000002003000000200000032300100000100001300200000;c5-c4;5;5;358;247;43
124;3;0000002003000000200000030300100200100001300200000;d4-d5;5;5;357;247;1
125;2;0000002003000000200000030300100200100013000200000;f6-e6;5;5;357;226;21
126;3;0000002003000000200000030300100200102013000000000;b7-b6;5;5;349;226;8
127;2;0000002003000000200000030000100230102013000000000;e4-e5;5;5;349;216;10
128;3;0000002003000000200000030000100230100213000000000;b6-c6;5;5;324;216;25
129;2;0000002003000000200000030000100230102130000000000;e6-d6;5;5;324;206;10
130;3;0000002003000000200000030000100030102120000003000;d5-d6;5;5;315;206;9
131;2;0000002003000000200000030000100030102120000030000;d7-c7;5;5;315;195;11
132;3;0000002003000000200000030000100030100212000030000;b6-c6;5;5;309;195;6
