MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033220103300111000111110001112033010223300002;f7-f6;0;0;19624;20000;376
3;2;2200033220133000111000111110001112033010223300002;g2-f2;0;0;19624;18186;1814
4;3;2200033220133000111100111120001112033010023300002;f6-f5;0;0;18695;18186;929
5;2;2200003220133000111300111110001112033010223300002;f1-f2;0;0;18695;16926;1260
6;3;2200003220133000111300111110011120033010223300002;f5-e5;0;0;18032;16926;663
7;2;2200003220103000113300111110011110033012223300002;e2-e3;0;0;18032;14850;2076
8;3;2200003220103000113300111110011110033122203300002;g6-f6;0;0;17087;14850;945
9;2;2200003220103000113300111110011110003312223300002;a6-b6;0;0;17087;14710;140
10;3;2200003220133000111300111110011120003310223300002;e6-e5;0;0;16663;14710;424
11;2;2200003220133000111300111110011120000331223300002;b6-c6;0;0;16663;12328;2382
12;3;2200003220133000111300111110011120003312203300002;g6-f6;0;0;16137;12328;526
13;2;2200003220103000113300111110011110003312203300202;e2-e3;0;0;16137;10800;1528
14;3;2200003220103000113300111110011110003312203302002;e7-d7;0;0;15785;10800;352
15;2;2200003220103000113300111110011110000331223302002;b6-c6;0;0;15785;9520;1280
16;3;2200003220103000113300111110011110200331223302000;g7-g6;0;0;15486;9520;299
17;2;2200003220103000110300111310011110200331223302100;e3-e4;0;0;15486;9246;274
18;3;2200003220103000110300111310011110200331023302120;f6-f7;0;0;12592;9246;2894
19;3;2200003220103000110300111010011130200331023302120;e4-e5x;0;1;12592;7465;1781
20;2;2200003220100300110300111010011130200331023302120;f2-g2;0;1;12592;5971;1494
21;3;2200003220100300110300111010011130200331023321200;f7-e7;0;1;12039;5971;553
22;3;2200003220100300110300111010011100200333023321100;e5-e6x;0;1;12039;5914;57
23;3;2200003220100300110300111010011100200330023321300;e6-e7x;0;2;12039;5779;135
24;2;2200003220100300110300111010011100200330020332130;a7-b7;0;2;12039;5571;208
25;3;2200003220100300110300111010011102000330020332130;g5-f5;0;2;11803;5571;236
26;2;2200003220100300110000111030011101000330220332130;f3-f4;0;2;11803;5492;79
27;3;2200003220100300110000111030011101200330200332130;g6-g5;0;2;11577;5492;226
28;2;2200003220100300110300111010011102200330300332100;f7-f6;0;2;11577;5433;59
29;3;2000003220100302110300111010011102200330300332100;b1-b2;0;2;11097;5433;480
30;2;2000003220100302110300111010011102200330300033210;b7-c7;0;2;11097;5311;122
31;3;2000003220100300211300111010011102200330300033210;b3-c3;0;2;10727;5311;370
32;2;2000003220100302113000111010011102200330300033210;f3-e3;0;2;10727;5247;64
33;3;2000003220100302113000111010011122000330300033210;g5-f5;0;2;10100;5247;627
34;2;2001003220100302113000111010011322000330300030210;d7-d6;0;2;10100;5185;62
35;3;2001003220100302113000111010011322000330300030021;e7-f7;0;2;8079;5185;2021
36;3;2001003220100302113000113010011322000300300030021;d6-d5x;0;3;8079;5117;68
37;3;2001003220100302133000113010011022000300300030021;d5-d4x;0;4;8079;5045;72
38;3;2001003220300302133000110010011022000300300030021;d4-d3x;0;5;8079;5014;31
39;2;2001003221300302133000110010013022000300300000021;c7-c6;0;5;8079;4949;65
40;2;2001003221300302133000110010013022000300300000002;f7-g7x;1;5;6463;4949;1616
41;3;2001003221300302133000110010013220000300300000002;f5-e5;1;5;5170;4949;1293
42;3;2003003221300302103000110010013220000300300000002;d3-d2x;1;6;5170;4764;185
43;3;2003003213000302103000110010013220000300300000002;d2-c2x;1;6;5170;4697;67
44;3;2003003130000302103000110010013220000300300000002;c2-b2x;1;6;5170;4645;52
45;3;2003003300000302103000110010013220000300300000002;b2-a2x;1;7;5170;4620;25
