MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;0220033220103300111000111110001110033010223300022;a1-b1;0;0;19642;20000;358
3;2;0220033220103300111000111110001110003310223300022;a6-b6;0;0;19642;16053;3947
4;3;0020033220103302111000111110001110003310223300022;b1-b2;0;0;18049;16053;1593
5;2;0020033220133002111000111110001110003310223300022;g2-f2;0;0;18049;14627;1426
6;3;0200033220133002111000111110001110003310223300022;c1-b1;0;0;16244;14627;1805
7;2;0200033221330002111000111110001110003310223300022;f2-e2;0;0;16244;12246;2381
8;3;0200033022133002111000111110001110003310223300022;a2-b2;0;0;14011;12246;2233
9;2;0220033021133002111000111110003110003010223300022;c6-c5;0;0;14011;10972;1274
10;3;0022033021133002111000111110003110003010223300022;b1-c1;0;0;12479;10972;1532
11;3;0012033021133002111000131110000110003010223300022;c5-c4x;0;0;12479;9587;1385
12;3;0012033021133002311000101110000110003010223300022;c4-c3x;0;1;12479;8738;849
13;3;0012033023133002011000101110000110003010223300022;c3-c2x;0;2;12479;7991;747
14;2;0012033023133002011000101110000110000310223300022;b6-c6;0;2;12479;6392;1599
15;3;0012033002313302011000101110000110000310223300022;b2-c2;0;2;10950;6392;1529
16;2;0012030002313302011030101110000110000310223300022;g1-g2;0;2;10950;6049;343
17;3;0010030002213302031030101110000110000310223301022;d1-d2;0;2;8759;6049;2191
18;2;0010030022133002031030101110000110000310223301022;g2-f2;0;2;8759;5171;878
19;2;0020030020133002031030101110000110000310223301022;c2-c1x;1;2;8134;5171;625
20;3;0002030020133002031030101110000110000310223301022;c1-d1;1;2;6902;5171;1232
21;2;0002030020133002003130101110000110000310223301022;d3-e3;1;2;6902;4951;220
22;3;0000030020233002013130101110000110000310223301022;d1-d2;1;2;6128;4951;774
23;2;0000030022330002013130101110000110000310223301022;f2-e2;1;2;6128;4596;355
24;3;0000030002233002013130101110000110000310223301022;b2-c2;1;2;5558;4596;570
25;2;0000030002203002013130101310000110000311223301022;e2-e3;1;2;5558;3847;749
26;2;0000030002003002023130101310000110000311223301022;d2-d3x;2;2;5416;3847;142
27;2;0000030002003002002310101310000110000311223301022;d3-e3x;2;2;5294;3847;122
28;3;0000030002003002002310101310000110003112203301022;g6-f6;2;2;5253;3847;41
29;2;0000030002030002002310101310000110003112203301022;f2-e2;2;2;5253;3724;123
30;2;0000030002030002000230101310000110003112203301022;e3-f3x;3;2;5098;3724;155
31;2;0000030002030002000020101310000110003112203301022;f3-g3x;3;2;4909;3724;189
32;3;0000030002030000000020201310010110003112203301022;b3-b4;3;2;4685;3724;224
33;2;0000030002030002000020101310030110003112203001022;b7-b6;3;2;4685;3672;52
34;3;0000030002030002000020101310030110031122003001022;f6-e6;3;2;4576;3672;109
35;2;0000030002030002000020101010030130031121003001222;e4-e5;3;2;4576;3615;57
36;3;0000030002030000000020201010010130033121003101222;b3-b4;3;2;4538;3615;38
37;3;0000030002030000000020201010010100033123003101122;e5-e6x;3;2;4538;3612;3
38;2;0000030002030000000020201010310100033123000101122;a7-a6;3;2;4538;3587;25
39;2;0000030002030000000020001010320100031123000301122;b4-b5x;4;2;4509;3587;29
40;2;0000030002030000000020001010200100031123000301122;b5-a5x;4;2;4499;3587;10
41;3;0000030002030000000020001010200100031123200301102;f7-f6;4;2;4427;3587;72
42;2;0000030002030000000020001010200100003112320301102;a6-b6;4;2;4427;3554;33
43;3;0000030002030000000020001010000100023112320301102;a5-a6;4;2;4380;3554;47
44;2;0000030002030000000020001010000100023112320031102;b7-c7;4;2;4380;3298;256
45;2;0000030002030000000020001010000100023110320031202;e6-e7x;5;2;4357;3298;23
46;3;0000030002030000000020001010000100023112320031002;e7-e6;5;2;4280;3298;77
47;2;0000030002030000000020001010000100023112320003102;c7-d7;5;2;4280;3203;95
48;2;0000030002030000000020001010000100023110320003202;e6-e7x;6;2;4244;3203;36
49;3;0000030002030000000020001010000100023112320003002;e7-e6;6;2;4175;3203;69
50;2;0000030002300000000020001010000100023112320003002;e2-d2;6;2;4175;2807;396
51;3;0000030000300000200020001010000100023112320003002;c2-c3;6;2;3948;2807;227
52;2;0000000000303000200020001010000100023112320003002;f1-f2;6;2;3948;2329;478
53;3;0000000000303000000020021010000100023112320003002;c3-c4;6;2;3580;2329;368
54;2;0000000000303000000020021010000100020112320303002;b6-b7;6;2;3580;1863;466
55;3;0000000000303000000020001010002100020112320303002;c4-c5;6;2;3389;1863;191
56;2;0000000000303000010020001010002100020132320300002;d7-d6;6;2;3389;1613;250
57;3;0000000000303000010020001010000100020232320310002;c5-c6;6;2;3309;1613;80
58;2;0000000000303000010020001010000100020232320031002;b7-c7;6;2;3309;1611;2
59;2;0000000000303000010020001010000100020032320021002;c6-c7x;6;2;3290;1611;19
60;3;0000000000303000010020001010000100020232320001002;c7-c6;6;2;3111;1611;179
61;2;0000000000300000010320001010000100020232320001002;f2-f3;6;2;3111;1520;91
62;3;0000000000300200010300001010000100020232320001002;g3-g2;6;2;2488;1520;623
63;2;0000000000300200010000001030000101020232320001002;f3-f4;6;2;2488;1412;108
64;3;0000000000300200010000001030000101220232320001000;g7-g6;6;2;1990;1412;498
65;2;0000000000300200010300001010000103220232020001000;f6-f5;6;2;1990;1314;98
66;3;0000000000300200010300001010000123220230020001000;e6-e5;6;2;1953;1314;37
67;2;0000000000300200010000001030000121220230320001000;f3-f4;6;2;1953;1156;158
68;3;0000000000300200010000001030000121220233200001000;g6-f6;6;2;1940;1156;13
69;2;0000000000300200010000001230000131220230200001000;e6-e5;6;2;1940;1106;50
70;3;0000000000302000010000001230000131220230200001000;g2-f2;6;2;1904;1106;36
71;2;0000000000302000010000012300000131220230200001000;f4-e4;6;2;1904;1022;84
72;3;0000000000302000010000012300001312020230200001000;g5-f5;6;2;1843;1022;61
73;2;0000000000302000010000123000001312020230200001000;e4-d4;6;2;1843;985;37
74;3;0000000000302000010000123000013120020230200001000;f5-e5;6;2;1809;985;34
75;2;0000000000302000010000123000013120022300200001000;d6-c6;6;2;1809;956;29
76;3;0000000000302000010000123000013120002230200001000;a6-b6;6;2;1789;956;20
77;3;0000000000002000030000121000013320002210200003000;d2-d3x;6;3;1789;944;12
78;2;0000000000302000010000123000013120002230200000000;d7-d6;6;3;1789;928;16
79;3;0000000000302000010000123000013120002232000000000;f6-e6;6;3;1695;928;94
80;2;0000000000302000010001230000013120002232000000000;d4-c4;6;3;1695;916;12
81;3;0000000000302000010001030000023120001232000200000;b4-b5;6;3;1688;916;7
82;2;0000000000302000010001003000023120001232000200000;c4-d4;6;3;1688;895;21
83;3;0000000000302000010001003000023120012320000200000;e6-d6;6;3;1668;895;20
84;2;0000000000002000030001001000023320012310000202000;d2-d3;6;3;1668;888;7
85;3;0000000000002000030001001000023300012312000202000;e5-e6;6;3;1664;888;4
86;2;0000000000002000030001001000233000012312000202000;d5-c5;6;3;1664;882;6
87;2;0000000000002000030001001000233000023120000202000;e6-d6x;7;3;1664;882;0
