MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;2200033220103300111000111110001112033010223300002;f7-f6;0;0;19682;20000;318
3;2;2200033220133000111000111110001112033010223300002;g2-f2;0;0;19682;18659;1341
4;3;2200033220133000111100111120001112033010023300002;f6-f5;0;0;18913;18659;769
5;2;2200003220133000111300111110001112033010223300002;f1-f2;0;0;18913;17548;1111
6;3;2200003220133000111300111110011120033010223300002;f5-e5;0;0;16536;17548;2377
7;2;2200003220103000113300111110011110033012223300002;e2-e3;0;0;16536;15882;1666
8;3;2200003220103000113300111110011110033122203300002;g6-f6;0;0;15871;15882;665
9;2;2200003220103000113300111110011110003312223300002;a6-b6;0;0;15871;15752;130
10;3;2200003220133000111300111110011120003310223300002;e6-e5;0;0;15404;15752;467
11;2;2200003220133000111300111110011120000331223300002;b6-c6;0;0;15404;13416;2336
12;3;2200003220133000111300111110011120003312203300002;g6-f6;0;0;14989;13416;415
13;2;2200003220103000113300111110011110003312203300202;e2-e3;0;0;14989;12034;1382
14;3;2200003220103000113300111110011110003312203302002;e7-d7;0;0;14610;12034;379
15;2;2200003220103000113300111110011110000331223302002;b6-c6;0;0;14610;10847;1187
16;3;2200003220103000113300111110011110200331223302000;g7-g6;0;0;14082;10847;528
17;2;2200003220103000110300111310011110200331223302100;e3-e4;0;0;14082;10580;267
18;3;2200003220103000110300111310011112200331023302100;f6-f5;0;0;13607;10580;475
19;3;2200003220103000110300111010011132200331023302100;e4-e5x;0;1;13607;9313;1267
20;3;2200003220103000110300111010011102200333023302100;e5-e6x;0;2;13607;8122;1191
21;3;2200003220103000110300111010011102200330023302300;e6-e7x;0;3;13607;6682;1440
22;2;2200003221103000110300111010013102200030023302300;c6-c5;0;3;13607;5345;1337
23;3;2200033221103000110100111020013100200030023302300;f5-f4;0;3;10885;5345;2722
24;2;2210033221103000110100131020010100200030023302300;c5-c4;0;3;10885;5154;191
25;3;0221033221103000110100131020010100200030023302300;a1-b1;0;3;10883;5154;2
26;2;0221033221103000110100131020010100200030023323000;e7-d7;0;3;10883;5151;3
27;2;0221033221101000110200131000010100200030023323000;f4-f3x;0;3;10883;5151;0
28;3;0022133221101000110200131000010100200030023323000;b1-c1;0;3;10836;5151;47
29;3;0021133221101000110200131000010300200030023320000;d7-d6x;0;3;10836;5148;3
30;3;0021133221101000110200133000010300200000023320000;d6-d5x;0;4;10836;5146;2
31;3;0021133221101000130200133000010000200000023320000;d5-d4x;0;5;10836;5145;1
32;3;0021133221301000130200130000010000200000023320000;d4-d3x;0;6;10836;5144;1
33;3;0023133221301000100200130000010000200000023320000;d3-d2x;0;7;10836;5144;0
