MoveNr;activePlayer;fieldString;lastMove;bulletsCapturedWhite;bulletsCapturedBlack;timeRemainingWhite;timeRemainingBlack;timeUsedForLastMove
1;2;2200033220103300111000111110001110033010223300022;;0;0;20000;20000
2;3;0220033220103300111000111110001110033010223300022;a1-b1;0;0;19626;20000;374
3;2;0220033220133000111000111110001110033010223300022;g2-f2;0;0;19626;16619;3381
4;3;0020033220133002111000111110001110033010223300022;b1-b2;0;0;17581;16619;2045
5;2;0020033220133002111000111110001110003310223300022;a6-b6;0;0;17581;14822;1797
6;3;0200033220133002111000111110001110003310223300022;c1-b1;0;0;16114;14822;1467
7;2;0200033221330002111000111110001110003310223300022;f2-e2;0;0;16114;12504;2318
8;3;0200033022133002111000111110001110003310223300022;a2-b2;0;0;14155;12504;1959
9;2;0220033021133002111000111110003110003010223300022;c6-c5;0;0;14155;11312;1192
10;3;0022033021133002111000111110003110003010223300022;b1-c1;0;0;12689;11312;1466
11;3;0012033021133002111000131110000110003010223300022;c5-c4x;0;0;12689;10105;1207
12;3;0012033021133002311000101110000110003010223300022;c4-c3x;0;1;12689;8784;1321
13;3;0012033023133002011000101110000110003010223300022;c3-c2x;0;2;12689;8168;616
14;3;0032033020133002011000101110000110003010223300022;c2-c1x;0;3;12689;7344;824
15;2;0032033020133002011000101110000110033010220300022;a7-a6;0;3;12689;5875;1469
16;3;0032033020133000211000101110000110033010220300022;b3-c3;0;3;10151;5875;2538
17;2;0002033023133000211000101110000110033010220300022;c1-c2;0;3;10151;4699;1176
18;3;0002033002313300211000101110000110033010220300022;b2-c2;0;3;9364;4699;787
19;2;0002030002313300211030101110000110033010220300022;g1-g2;0;3;9364;4663;36
20;2;0002030000231300211030101110000110033010220300022;c2-d2x;0;3;8792;4663;572
21;2;0002030000023100211030101110000110033010220300022;d2-e2x;0;3;8436;4663;356
22;3;0002030000023100211030101110000112033010220300002;f7-f6;0;3;8106;4663;330
23;2;0002031000023300211000101110000112033010220300002;g3-g2;0;3;8106;4587;76
24;2;0002031000002300211000101110000112033010220300002;e2-f2x;0;3;8093;4587;13
25;2;0002031000000200211000101110000112033010220300002;f2-g2x;0;3;8079;4587;14
26;2;0002032000000000211000101110000112033010220300002;g2-g1x;1;3;8054;4587;25
27;3;0002320000000000211000101110000112033010220300002;g1-f1;1;3;7925;4587;129
28;2;0002320000000000211000101110000112003310220300002;a6-b6;1;3;7925;4561;26
29;3;0002320000000000211100101120000112003310020300002;f6-f5;1;3;7825;4561;100
30;2;0002020000030000211100101120000112003310020300002;e1-e2;1;3;7825;4527;34
31;3;0002020000030000021110101120000112003310020300002;c3-d3;1;3;7629;4527;196
32;2;0002020000030000021110101120000112003310023000002;b7-a7;1;3;7629;4503;24
33;2;0002020000030000002110101120000112003310023000002;d3-e3x;2;3;7566;4503;63
34;2;0002020000030000000210101120000112003310023000002;e3-f3x;3;3;7426;4503;140
35;2;0002020000030000000020101120000112003310023000002;f3-g3x;4;3;7302;4503;124
36;3;0002020000030000000020111200000112003310023000002;f4-e4;4;3;6788;4503;514
37;2;0002020000030000000020111200000112000331023000002;b6-c6;4;3;6788;4406;97
38;3;0002020000030000000020111000000122000331023000102;e4-e5;4;3;6508;4406;280
39;2;0002020000000000003020111000000122000331023000102;e2-e3;4;3;6508;4351;55
40;2;0002020000000000003020111000000102000332023000102;e5-e6x;5;3;6308;4351;200
41;2;0002020000000000003020111000000102000330023000202;e6-e7x;6;3;6110;4351;198
